Oil: Refinery capacities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand barrels daily *,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,467.0,524.0,524.0,594.0,594.0,594.0,605.0,605.0,660.0,690.0,810.0,810.0,1050.0,1080.0,1080.0,1085.0,590.0,590.0,632.0,680.0,685.0,685.0,715.0,735.0,825.0,865.0,980.0,1050.0,1145.0,1280.0,1290.0,1290.0,1345.0,1495.0,1597.0,1597.0,1597.0,1597.0,1607.0,1642.0,1642.0,1727.0,1772.0,1805.0,1860.0,1860.0,1860.0,1892.0,1970.0,0.0412262156606,0.0207523759454
Iraq,79.0,82.0,82.0,103.0,103.0,103.0,109.0,115.0,115.0,186.0,186.0,186.0,186.0,209.0,251.0,297.0,228.0,200.0,342.0,450.0,520.0,528.0,530.0,530.0,580.0,600.0,373.0,602.0,650.0,650.0,660.0,680.0,710.0,730.0,736.0,750.0,750.0,750.0,750.0,750.0,753.0,758.0,765.0,754.0,786.0,907.0,996.0,1042.0,1129.0,0.0834932848811,0.0118931122124
Kuwait,342.0,360.0,360.0,440.0,469.0,469.0,541.0,523.0,523.0,523.0,563.0,577.0,577.0,572.0,582.0,579.0,554.0,534.0,534.0,549.0,644.0,654.0,689.0,844.0,844.0,570.0,140.0,380.0,464.0,764.0,824.0,854.0,906.0,926.0,926.0,745.0,764.0,814.0,914.0,936.0,936.0,936.0,936.0,936.0,936.0,936.0,936.0,936.0,936.0,-,0.00986001174897
Saudi Arabia,303.0,335.0,335.0,347.0,347.0,676.0,676.0,676.0,676.0,676.0,703.0,703.0,703.0,758.0,758.0,700.0,780.0,820.0,935.0,1110.0,1420.0,1540.0,1565.0,1565.0,1620.0,1885.0,1645.0,1660.0,1670.0,1683.0,1692.0,1699.0,1704.0,1762.0,1823.0,1808.0,1810.0,1814.0,1894.0,2079.0,2107.0,2107.0,2107.0,2107.0,2107.0,2107.0,2117.0,2122.0,2522.0,0.188501417637,0.0265672542155
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,75.0,135.0,154.0,180.0,180.0,180.0,180.0,180.0,180.0,185.0,192.0,202.0,215.0,220.0,220.0,250.0,298.0,235.0,290.0,440.0,674.0,711.0,645.0,620.0,620.0,620.0,625.0,680.0,700.0,700.0,705.0,710.0,710.0,-,0.00747928256169
Other Middle East,510.85,532.15,544.25,547.1,575.85,623.55,622.6,678.0,744.0,752.0,799.0,824.0,789.0,800.0,804.0,852.0,955.0,977.0,1083.0,1086.0,1116.0,1187.0,1202.0,1202.0,1175.0,1155.0,1168.0,1163.0,1146.0,1146.0,1150.0,1150.0,1150.0,1155.0,1168.0,1168.0,1170.0,1248.0,1248.0,1248.0,1248.0,1298.0,1381.0,1390.0,1536.0,1541.0,1553.0,1553.0,1555.0,0.00128783006221,0.0163806825876
Total Middle East,1701.85,1833.15,1845.25,2031.1,2088.85,2465.55,2553.6,2597.0,2718.0,2827.0,3061.0,3115.0,3320.0,3434.0,3490.0,3528.0,3182.0,3256.0,3680.0,4055.0,4565.0,4774.0,4881.0,5056.0,5224.0,5260.0,4498.0,5057.0,5290.0,5743.0,5836.0,5923.0,6113.0,6303.0,6540.0,6508.0,6765.0,6934.0,7058.0,7275.0,7306.0,7446.0,7586.0,7672.0,7925.0,8051.0,8167.0,8255.0,8822.0,0.0686856433749,0.092932716012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Africa,560.0,598.0,646.0,597.0,549.0,697.0,806.0,935.0,1066.0,1173.0,1242.0,1253.0,1383.0,1612.0,1708.0,2073.0,2268.0,2333.0,2276.0,2220.0,2443.0,2489.0,2538.0,2628.0,2688.0,2758.0,2748.0,2757.0,2857.0,2784.0,2854.0,2934.0,2853.0,2806.0,2910.0,2838.0,3093.0,3157.0,3141.0,3058.0,3154.0,3017.0,3034.0,3148.0,3009.0,3203.0,3152.0,3350.0,3517.0,0.0498507469893,0.0370487831533
