Natural Gas: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,12.781,18.603,22.579,22.456,21.564,21.252,23.367,23.567,23.481,25.336,25.497,25.864,22.931,22.524,23.251,22.324,24.158,25.033,33.666,38.655,39.771,43.631,44.773,48.506,58.951,65.812,71.2609839,77.2583382,79.8014664,81.2789046,90.0992772,93.9504159,96.5252529,91.1396826,103.2542766,97.8712533,-0.0495367646217,0.0321811536899
Poland,4.402,4.54,4.803,4.87,4.715,4.851,5.283,5.56,5.964,5.348,4.543,4.037,3.724,3.638,3.996,4.134,3.752,3.769,3.74,3.463,2.377,2.658,2.537,3.271,3.068,3.138,3.243,3.204,3.248,3.102,3.306,3.491,3.568,3.611,3.92558039553,3.88435081685,3.88035253654,3.89669914875,3.68985860323,3.67989872934,3.69296359989,3.84983758479,3.82750549346,3.76322960495,-0.0140994368121,0.0012373916365
Romania,21.0,22.442,22.956,24.304,25.084,27.248,29.722,31.476,31.691,30.281,31.267,32.91,33.275,33.02,32.784,31.336,31.712,30.139,29.515,26.458,25.502,22.014,19.604,18.532,16.812,16.239,15.524,13.469,12.629,12.624,12.375,12.211,11.904,11.726,11.513,11.16,10.7478,10.3707,10.27989,10.1268,9.7695,9.8109,9.8415,9.8739,0.00604092655703,0.00324664784301
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,376.305883273,409.68325892,443.321268052,480.380091672,501.556562312,531.073178974,523.742414234,524.556943649,503.623537668,494.663714097,479.350561083,489.206367012,463.711596304,479.432014025,482.201414038,475.685178713,473.648855174,484.970814051,505.415502383,516.004384785,522.113355402,535.671197525,532.865143688,541.580608435,474.917892003,530.007448687,546.341125605,533.079364925,544.276049177,0.0238010548055,0.178964002174
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,67.7565612516,68.986425508,71.755656284,71.918552212,73.221719636,71.511312392,68.660633652,48.950226364,53.185520492,29.0769169417,26.307692372,28.6694598104,14.0902556272,10.8325388545,18.5703437857,38.2805974058,41.7827884605,43.574629692,48.124344009,47.484163012,51.31221732,54.325791988,58.886877972,59.45701372,32.742081528,38.117647152,53.5935747916,56.0588792321,56.1149381113,0.00374246574938,0.0184512140876
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,34.9248869632,32.334841708,28.995475184,26.389140336,25.085972912,22.886877884,19.873303216,17.10407244,15.638009088,14.823529448,14.8236784571,14.9866613145,15.2088224625,14.6354720693,14.7518883971,14.565622279,14.9051698898,15.312217232,15.800905016,16.533936692,16.69683262,16.859728548,16.859728548,17.10407244,17.348416332,16.6642534344,16.789683299,16.728597326,17.348416332,0.0398926995695,0.0057043517216
United Kingdom,9.415,15.646,22.576,24.512,29.562,30.783,32.599,34.061,32.617,32.936,31.311,31.241,31.753,32.741,32.007,35.711,37.545,39.307,37.853,37.069,40.932,45.574,46.345,54.488,58.172,63.726,75.762,77.298,81.144999,89.1767196,97.5370032,95.2432542,93.2447862,92.6424594,86.7225978,79.3529568,71.9652816,64.8683208,62.6668326,53.712891,51.4209222,40.714722,34.9920756,32.8293648,-0.0592353354082,0.0107946592952
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28.1728507476,31.438914104,32.416289672,32.497737636,33.475113204,33.230769312,34.1119548345,34.8621720309,36.6797647955,38.4279638948,39.5495023591,39.8907693283,41.7371946722,44.6253394756,45.2695928708,45.9488688906,46.762534051,46.7291403857,46.8219910647,48.7588236486,48.613031793,49.031674328,53.185520492,55.954751268,54.000000132,53.674208276,51.31221732,51.230769356,49.68325804,-0.0275497101247,0.0163364063389
Other Europe & Eurasia,174.121585066,186.503373214,194.476302184,207.56266103,227.581288423,251.00613812,276.962070909,298.63628976,321.006863333,348.236417485,371.2654714,394.879827051,424.221138035,452.070220362,494.556111817,17.3047704811,15.9704249907,16.0427577508,15.5649747896,15.9810886316,14.6877818572,14.8619932001,14.5641805102,14.8228426111,14.2028284253,14.2991683303,13.0657634011,11.9027670579,11.0332184386,10.2847503833,10.0340449248,9.85794795936,10.0610450268,9.54971755139,9.90774808877,9.5963577844,9.42270890331,9.60702382688,9.19700764674,9.1441484834,9.10286663033,8.53328997181,7.82422257976,6.72352665623,-0.138323679566,0.00221077014309
Total Europe & Eurasia,253.712679648,285.755822054,315.560308776,344.318240566,380.796595818,410.881024334,448.036108599,474.493187009,501.332481992,535.764943996,556.635790259,578.08090458,596.369346261,627.955129075,674.3431336,724.953095058,756.677800055,794.91437584,819.285119407,841.80697861,865.093220903,860.409141745,839.131384877,830.38436639,797.426999464,789.218335238,829.529507221,788.780243026,801.842173596,821.708179688,842.599166371,850.286110013,869.324334626,900.48300456,922.771651655,925.951287371,936.837358723,937.896451139,966.978797311,859.27901502,924.235974191,930.812503534,925.299475015,929.611546575,0.00741268388724,0.305666587926
