Renewable energy - Biofuels production,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share,,,
Total Asia Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4222652106,89.4118574118,237.675784659,490.811832847,604.343819209,834.223889524,1303.76442936,1731.83813962,2910.08588203,3320.3163471,4020.93145632,4524.95841707,5405.58786267,6070.71825217,0.126121804255,0.0928981110367,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,7093.89695884,7899.814272,7658.06883314,7782.88846843,8778.0423958,8969.34719985,9274.92553869,10423.0622288,9801.60257794,9635.46209629,9176.08809716,10021.2731713,11830.0506453,14682.2838464,16446.3510117,19701.0741617,25677.6642082,34832.1535116,46452.6030456,51948.6029956,59555.368769,60683.9025388,61752.0820771,65348.1344715,0.0611329732091,1.0,,,
                OECD,1382.40170085,1601.7750749,1870.86276886,2219.18436988,2533.36041169,2781.15255978,2224.24037022,2861.40911739,3001.82164511,3239.18483595,3824.85818439,4288.18964095,5307.44696357,6960.17835476,8522.47627849,10779.2218154,15020.5846771,20780.3632701,27899.4805621,32897.2781799,37946.0929838,40014.1101737,39736.6920803,40813.201876,0.0299050254285,0.62455037479,,,
                Non-OECD,5711.49525799,6298.0391971,5787.20606428,5563.70409855,6244.68198411,6188.19464007,7050.68516848,7561.6531114,6799.78093283,6396.27726034,5351.22991277,5733.08353033,6522.6036817,7722.10549159,7923.87473323,8921.85234631,10657.0795311,14051.7902415,18553.1224835,19051.3248157,21609.2757853,20669.7923651,22015.3899968,24534.9325955,0.11749787728,0.37544962521,,,
                European Union,0.0,0.0,49.6366656117,84.9338167887,150.227853701,270.977580573,424.369197188,479.44137378,404.052624861,482.340999151,720.096718314,889.351659529,1206.15822635,1619.23070075,2027.97528969,3133.22854108,5006.55796322,6748.30638846,8077.00021736,10095.6625396,11051.1140239,10172.6133042,10925.4685362,10746.518711,-0.0136842925995,0.164450275404,,,
                Former Soviet Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2135621008,21.6443689412,28.1892138353,49.9624183059,129.705257479,210.338614891,182.081884178,158.866674808,183.621098132,192.956937103,0.0537219753811,0.00295275356616,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Source: Includes data from F.O. Licht, US Energy Information Administration.",,,
♦ Less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Consumption of fuel ethanol and biodiesel is included in oil consumption tables. 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth rates are adjusted for leap years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
