Hydroelectricity: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0.453,0.455,0.458,0.295,0.416,0.487,0.492,0.474,0.582,0.471,0.555,0.668,0.797,0.658,0.75,0.839,0.818,0.689,0.758,0.737,0.505,0.526,0.574,0.587,0.608,0.426,0.553,0.466,0.439,0.332,0.524,0.661,0.621817939087,0.700409286328,0.623183011268,0.54209553333,0.294796623976,0.496599719419,0.67045318369,0.700876363307,0.963705480382,0.903063764312,0.651445897633,0.650314522333,0.785400733131,1.14427297823,0.660044349912,0.72996334344,0.921259899534,0.26552093029,0.00107651634607
Czech Republic,0.505,0.476,0.429,0.332,0.271,0.387,0.266,0.284,0.245,0.392,0.411,0.326,0.445,0.413,0.518,0.542,0.466,0.379,0.374,0.295,0.379,0.424,0.558,0.476,0.371,0.345,0.284,0.371,0.361,0.403,0.516,0.545,0.471,0.426,0.5,0.523,0.558,0.644,0.406,0.579942978685,0.684934606508,0.736977870299,0.574601515906,0.540317415911,0.678596619222,0.769335203874,0.606371448567,0.674482527223,0.855274014526,0.271518826485,0.00099941005465
Denmark,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.008,0.008,0.008,0.008,0.005,0.005,0.005,0.005,0.005,0.008,0.008,0.005,0.005,0.005,0.008,0.007,0.006,0.007,0.005,0.006,0.00525689533247,0.00525689533247,0.00639969866562,0.00594257733236,0.00434265266595,0.00479977399921,0.00385551775162,0.00398707493224,0.00306716290616,-0.228615924716,3.5840601e-06
Finland,2.154,2.391,2.678,2.391,1.993,2.154,2.417,2.239,2.282,2.743,2.75,2.134,2.742,2.205,2.461,2.313,3.089,2.963,3.074,2.997,2.792,2.805,3.121,3.024,2.95,2.458,2.987,3.418,3.05,2.666,2.924,2.676,2.711,3.337,2.882,3.304,3.075,2.428,2.127,3.36833054261,3.10585147305,2.59243336199,3.1977191474,3.86025252297,2.87134905191,2.91254857486,2.80626786487,3.80942063071,2.90637743686,-0.234964996576,0.00339617813006
France,10.6080219487,11.8134744988,10.2678321492,11.409379599,11.9794744988,12.8256058741,11.0550584242,11.0493431235,10.7924744988,12.7235109743,13.6009270489,10.988964158,17.2699861067,15.4681252206,15.0289947957,15.7321694348,16.3359654252,15.9693301806,15.7132223379,14.8640334887,14.1016974702,14.2737058424,16.082544463,17.4456900484,10.5558193872,12.1809278635,13.041388469,15.6106286374,14.6966418971,17.8366474182,16.5038536453,14.9593526271,14.4342932525,14.0541550889,16.5611344074,15.3440327194,17.0356153777,13.891216681,13.5172528398,13.5447130947,11.7804853074,12.7243860061,13.1654486669,13.6384755369,13.0000095995,14.3070109156,10.3178508395,13.0843121238,15.4761847988,0.186045184731,0.018084326759
Germany,3.66841860886,3.96750640358,3.76800285107,3.82382015658,3.10301801149,3.96743408608,3.04457351677,2.98816454722,3.446047382,3.99106933068,3.86005417025,3.13319296737,3.97840439879,4.15491568991,4.15976978775,4.31487147577,4.50619391773,4.46621554962,4.23406285921,4.18137629542,3.93733303163,4.20237629542,4.60310675657,4.54346535729,4.12810060189,3.92785948319,3.31734457166,3.91960732226,4.29922613929,4.57075621125,4.8875412952,4.2539711273,4.29922613929,4.29922613929,4.68389374123,5.63424899308,5.24958139114,5.36271892112,4.00506856134,4.50287369326,4.43499117527,4.52550119926,4.79703127121,4.61601122324,4.29922613929,4.75177625922,4.00506856134,4.93279630719,4.63863872924,-0.0570566803217,0.00542037095875
Greece,0.188,0.428,0.411,0.34,0.511,0.661,0.666,0.671,0.557,0.505,0.504,0.47,0.482,0.749,0.894,0.854,0.757,0.793,0.529,0.647,0.634,0.758,0.671,0.587,0.487,0.453,0.718,0.539,0.576,0.653,0.863,1.018,0.926,0.874,1.093,0.93,0.617,0.784,1.207,1.18348713181,1.27582564112,1.47421629976,0.76956376454,0.938698657846,1.28291102179,1.70414833039,0.974125561174,1.03857966916,1.45547432509,0.405247926712,0.00170075986534
Hungary,0.016,0.024,0.018,0.021,0.021,0.021,0.021,0.024,0.021,0.018,0.037,0.037,0.034,0.032,0.032,0.026,0.037,0.037,0.034,0.042,0.034,0.034,0.039,0.039,0.037,0.039,0.045,0.037,0.037,0.037,0.037,0.047,0.05,0.034,0.042,0.04,0.042,0.044,0.039,0.046,0.0457075621125,0.0420871611531,0.0475177625922,0.0481965877721,0.0515907136715,0.042539711273,0.0502330633118,0.0481965877721,0.0481965877721,0.00273972610012,5.631897511e-05
Republic of Ireland,0.213157894737,0.192105263158,0.181578947368,0.173684210526,0.131578947368,0.181578947368,0.105263157895,0.155263157895,0.144736842105,0.178947368421,0.118421052632,0.134210526316,0.168421052632,0.157894736842,0.186842105263,0.189473684211,0.194736842105,0.181578947368,0.176315789474,0.155263157895,0.189473684211,0.207894736842,0.155263157895,0.197368421053,0.157894736842,0.157894736842,0.168421052632,0.184210526316,0.173684210526,0.207894736842,0.160526315789,0.163157894737,0.152631578947,0.207894736842,0.192105263158,0.192105263158,0.134210526316,0.205263157895,0.134210526316,0.142105263158,0.142105263158,0.163157894737,0.15,0.218421052632,0.205263157895,0.136842105263,0.160526315789,0.181578947368,0.131578947368,-0.273377001286,0.00015375344083
Italy,10.4113731276,10.675008689,10.3531984885,10.449979952,10.1200603249,9.92724301941,9.61430144363,10.330681993,8.49750735394,8.193047382,8.11314228176,9.40617196905,12.3599014798,10.3030993348,9.74648698918,9.22403443906,9.41860478798,9.05838561796,9.06899180884,9.27670774313,9.29935846495,9.30174516903,8.94007281531,9.20536430285,7.70855536951,7.15767221795,9.5591318731,9.55157763497,9.37427714169,10.1076567407,8.55061537765,9.51370507309,9.44316472824,9.32753975653,10.2671243155,10.0040884735,10.5940529484,8.94417848577,8.29972561886,9.58003348871,8.1615151378,8.37081956827,7.42951531882,9.41824682084,11.1187038965,11.5664569851,10.3685341902,9.47524550844,11.6489730241,0.232779458165,0.0136121297255
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.179,1.082,1.297,1.582,1.65,1.666,1.629,1.553,1.726,2.076,1.884,1.658,1.471,1.389,1.388,1.704,1.829,2.012,1.952,1.8230076481,1.77761687107,1.75772043716,1.84898547314,1.69038783545,1.55654613748,1.81520115853,1.78372629769,1.81048219215,1.83763942504,0.0177808217704,0.00214732973836
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.089,0.087,0.082,0.087,0.087,0.0936778748246,0.0764809702675,0.0703715436485,0.0889260985654,0.102276327103,0.0844005973662,0.0737656695479,0.066751142689,0.0943567000045,0.0936778748246,0.0767751278454,0.0736525320179,0.0799203511789,0.0735620219939,0.0951486627144,0.101982169525,0.0898538263113,0.0951712902204,0.0909399465991,0.0960085079422,0.12218853238,0.108589401276,0.0955559578223,0.116803185953,0.225702688098,0.00013648757886
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.026,0.018,0.026,0.021,0.024,0.021,0.021,0.021,0.021,0.021,0.032,0.026,0.027,0.016,0.0214961306965,0.0199122052767,0.0239851563561,0.024211431416,0.0230800561162,0.0221749558764,0.0237588812961,0.0128976784179,0.0239851563561,0.0260216318957,0.0878780037165,3.04069581e-05
Norway,11.17,11.018,12.066,13.628,12.987,13.091,14.468,15.418,16.666,17.345,17.521,18.566,16.339,18.3,20.137,19.003,21.108,21.021,24.0,24.066,23.297,21.911,23.482,24.792,26.863,27.471,25.026,26.492,27.071,25.532,27.721,23.518,25.103,26.311,27.574,32.187,27.38,29.359,24.012,24.7272711228,30.9025539666,27.1087975743,30.6124406028,31.7966013486,28.7527440377,26.6873367425,27.6235104313,32.3343313572,29.194505589,-0.0946313291788,0.0341145433485
Poland,0.207894736842,0.210526315789,0.223684210526,0.239473684211,0.205263157895,0.426315789474,0.434210526316,0.436842105263,0.418421052632,0.555263157895,0.536842105263,0.473684210526,0.542105263158,0.539473684211,0.555263157895,0.742105263158,0.681578947368,0.589473684211,0.752631578947,0.757894736842,0.881578947368,0.860526315789,0.918421052632,0.95,0.85,0.75,0.771052631579,0.807894736842,0.8,0.852631578947,0.871052631579,0.884210526316,0.863157894737,0.978947368421,0.968421052632,0.931,0.955,0.883,0.745,0.471104674843,0.498031406978,0.462053672444,0.532198941033,0.4871702041,0.537403267412,0.660723175092,0.527673439833,0.460922297144,0.551884871249,0.200629457831,0.00064489193028
Portugal,0.899443363352,1.19382721636,1.24021360366,1.17391501109,1.42802190343,1.31330044802,1.39611711997,1.6033850749,1.65746481423,1.77128116939,1.45042313436,1.08317871204,2.25505724759,2.44625967326,2.53722224736,1.8135946056,1.13567452595,1.56604969,1.81608363126,2.20957596054,2.41955921618,1.92650586052,2.07109562384,2.76802280853,1.31669457392,2.07200072408,2.04620536724,1.05127392859,1.93193646196,2.41163958908,1.88781282527,3.34004616011,2.96533466081,2.9377291035,1.64864008689,2.56211250396,3.17554419152,1.76494546771,3.5577227678,2.23310856677,1.04380685161,2.45689460108,2.26139294927,1.49432049599,1.80839027922,3.58578087523,2.5460469747,1.22369552428,3.05493958456,1.50332641602,0.0035697768908
Romania,0.226,0.234,0.334,0.353,0.503,0.626,1.018,1.661,1.708,1.918,1.971,1.834,2.113,2.403,2.566,2.861,2.882,2.682,2.271,2.563,2.692,2.447,2.537,3.082,2.858,2.484,3.224,2.647,2.889,2.953,3.779,3.566,3.963,4.274,4.139,3.344,3.377,3.631,3.001,3.73648006517,4.57234013667,4.15350500068,3.61270760737,3.89079965606,3.5554600172,4.55518848712,3.40170611395,2.76666515817,3.42682264561,0.242004722357,0.00400433177128
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,36.142,37.184,36.776,36.413,36.142,37.753,38.042,39.061,39.645,39.787,40.058,34.853,35.645,35.916,36.413,37.411,39.809,37.1423722677,35.6672851518,40.1948228266,39.4935964158,39.6465583563,40.4984839571,37.7263881975,39.8547314115,38.1039733901,37.294202833,37.3070552564,41.0004537268,0.102010957897,0.0479101017118
Slovakia,0.503,0.482,0.413,0.379,0.295,0.445,0.342,0.353,0.3,0.524,0.453,0.458,0.545,0.511,0.426,0.534,0.495,0.471,0.503,0.447,0.605,0.479,0.553,0.521,0.595,0.568,0.426,0.534,0.882,1.042,1.182,1.026,0.987,1.034,1.082,1.126,1.158,1.241,0.831,0.951939177264,1.07277005928,1.03317192379,1.04425940173,0.959632529303,1.04177037607,1.27822781373,0.938136398606,1.00443499118,1.15965968231,0.157702431083,0.00135509273969
Spain,4.533,6.2774744988,5.21779567362,5.6159489976,7.04708779472,6.39668656379,7.32833791917,7.8722139657,6.4535196633,6.99673172829,5.89633665203,4.6973905055,8.9679295832,9.13806127529,10.5345280355,6.68657224963,4.96532402589,5.95946961126,6.12063194099,7.12493148391,7.0809237453,5.99637439471,6.19660035299,7.97666651582,4.37906000815,5.75176820383,6.19223591438,4.19928202923,5.50676236593,6.29427238992,5.20431723763,9.19943313572,8.17303932661,8.41647861701,6.37556799566,7.74682269086,9.29405765489,5.23080056116,9.29447436304,7.1984884826,4.04398787166,5.78879485903,6.16033850749,5.31859528443,5.96290851926,9.5664622473,6.92311173436,4.64882110694,8.3223737114,0.795116364956,0.00972491130233
