Coal: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,3.47783584237,3.64420003593,3.97669985414,4.32250004262,4.83797207102,5.05586985648,5.96908559787,6.28682215138,7.12120177898,7.12013109112,6.90304485552,6.99698241632,7.16458228816,7.4070308013,7.50759232026,7.19165444324,7.70856383866,8.12801368791,8.03560460356,8.22225709344,8.53847300088,9.06923181337,8.7900815068,9.01427691208,8.93152281013,8.33808709617,8.53383980078,8.45816419899,8.35172929649,7.27412417114,7.55031437764,8.10243739063,6.91881718863,-0.143742486835,0.00178254267666
Hungary,5.94198995382,5.96796795368,5.76200695544,5.70304995626,5.48760395765,5.26233795971,5.20130396008,4.76351796329,4.56642796487,3.99750616944,3.85924197048,3.57439797312,2.83695897877,2.93305605188,2.57027404651,3.1915119043,3.29918405652,3.01879299775,3.05681891203,2.93452802315,2.90732102394,2.73731302142,2.78870002225,2.38634292085,1.97237701848,2.05110721922,2.02348981896,1.93816441816,1.85201461735,1.87076971753,1.96928551845,1.91466901794,1.96722451843,0.0302637983113,0.00050682964502
Kazakhstan,n/a,n/a,n/a,n/a,67.9663496733,72.1671185851,73.8621039033,74.0391038775,71.4184037209,67.7284035206,66.8915034652,65.0350933611,57.2802229381,53.4728727329,42.6264621806,39.256582005,37.3143919265,35.9825218725,30.0375815558,38.4826719892,40.6557420993,37.768331939,43.3114622045,44.413711371,44.1604380454,49.135246506,50.0291656707,56.8416807124,51.4519726356,53.9560857042,56.2314258012,58.5925955401,58.3653504552,-0.00114929222036,0.0150370690972
Poland,98.0529692632,112.788692159,115.350183106,117.36591844,118.003178309,119.427004947,120.806942975,120.681917407,111.136000044,94.4652609548,90.7167297174,89.1785544886,89.1810727984,89.3127667716,91.1159890321,94.4647570212,92.0757700047,79.6215731475,77.0368550807,71.3321530005,71.7225610092,71.289029015,71.3600069839,70.4769433592,68.66040971,66.9627870787,62.3295942069,60.4894511367,56.3692830683,55.4818826541,56.6117004047,58.8331136408,57.5507677909,-0.0191163178533,0.0148272020742
Romania,8.47120025426,8.39660026222,9.72740030915,9.83160030663,10.2896003228,10.4676003295,11.2756003577,12.5858004093,12.4129195082,8.65606017083,7.3622200641,8.5410302265,8.86224021435,9.14005008712,9.33901988387,9.60852036059,7.3586102125,5.67562982321,5.10069991529,6.43799996495,7.14827582598,6.56275097847,6.98442898035,6.7287872808,6.64557218003,6.5480625,6.7065,6.72225,6.365625,5.8355625,6.6519375,6.356625,4.6355625,-0.268753051758,0.00119429198094
Russian Federation,n/a,n/a,n/a,n/a,176.185877895,182.987046117,184.410706556,189.005506694,183.083306611,176.17380631,154.76566622,148.445669094,135.133928696,121.248190343,118.457846401,114.236036083,109.337994932,103.880277783,112.055255115,116.041462265,122.588239684,117.302148598,127.069229001,131.651818443,139.224805737,145.139406037,147.961006284,153.441606331,142.07780602,151.084606338,158.470406723,168.736607242,165.12260716,-0.0187369491905,0.0425416789949
Spain,11.8040758096,12.9574567425,13.1866775815,13.3669728905,13.4026671617,13.3610144201,11.7807414852,11.01088817,11.8812490536,11.8911231555,11.198528013,11.4311756516,11.0319581854,10.5635803953,10.2368782429,10.0376153025,9.83040017784,9.25328020602,8.58262404829,7.97088481456,7.57777682692,7.24298383772,6.83326484472,6.69903385103,6.3597841576,6.10567536166,5.71948516992,4.10150698772,3.84850009352,3.37665770787,2.52507453358,2.40513463733,1.61871935928,-0.325129598379,0.00041704185423
Turkey,6.90073491126,7.1679987359,7.49041028261,8.83881032825,10.6766087011,11.502966767,12.3089870416,11.3339740813,12.8011309624,12.2607582431,11.8819654855,12.2018885238,11.7157935569,12.1070449444,12.110521972,12.2810849911,13.1265926891,13.9541973283,13.2946140215,13.3665845947,13.1680249882,11.4880503382,10.4299177059,10.0798879942,12.5864569685,13.6752846026,16.0373747721,16.8383837964,17.0744826008,15.7894248628,16.2885734784,15.346215786,13.2360203326,-0.135142922401,0.00341008743271
Ukraine,n/a,n/a,n/a,n/a,96.5215494633,99.5545480311,98.0019050002,97.790204978,91.7342046499,83.9134042501,69.1156715112,68.3615555019,59.3946560618,48.6253055228,43.1677252411,36.393646897,39.7812940803,39.9057630874,42.2897812189,41.9694472042,43.4962572869,42.7868522513,41.648752197,42.2338922293,40.9956771702,41.7166922076,39.935402112,41.3459721873,38.3997170309,39.9486501131,44.0035933284,45.8786724279,45.8786724279,0.00273972610012,0.0118200397119
United Kingdom,75.6661888272,73.7909091765,70.5125262737,29.7969955266,54.8755429655,63.6276578248,61.296389119,61.4012972707,59.0535120857,54.7469526458,55.8229188681,49.9673883045,40.3402989268,28.3389392942,31.770958786,30.2003195643,29.3958511055,24.9868112129,22.5205698035,18.965132815,19.4199821347,18.23940448,17.1991233635,15.2634222096,12.4670620821,11.2621381809,10.3438565133,10.9799823781,10.8707443336,11.2009946172,11.3289284017,10.3677831387,7.80893052814,-0.244744539261,0.00201186886989
Other Europe & Eurasia,368.973835936,372.454006656,368.248685049,363.003068399,32.1778805217,32.4107637571,30.9154268438,28.9068642231,28.8284423423,29.2845103944,25.1164582301,23.1064776019,20.0837081591,16.6368437846,16.5463220892,16.1218703822,18.5621392672,19.1700644404,15.508469141,16.3985071869,16.8819977076,17.9123990275,19.0034832363,18.5277717629,17.6517166543,18.5322278709,20.5634452534,21.0070227864,20.3230281013,20.0357812512,21.3430880362,20.5138044104,21.327307607,0.0425047539175,0.00549470167607
