Oil: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand barrels daily,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,312.112712329,318.668109589,350.395123288,405.103387978,468.287863014,511.709369863,525.207863014,566.885409836,597.895506849,529.360054795,503.765945205,523.617896175,516.776958904,551.439726027,550.65909589,505.616584699,465.809315068,441.183232877,403.856082192,392.45442623,400.187835616,449.968356164,454.61309589,466.331338798,459.992273973,486.677863014,523.13309589,535.522896175,525.071808219,578.303150685,575.85539726,623.159699454,638.288684932,645.194136986,619.458219178,633.234344262,640.002520548,649.53169863,687.554958904,679.963469945,678.937506849,671.356767123,676.02460274,746.846147541,650.305479452,672.158,662.35339726,630.929717237,654.225181485,0.0248958971351,0.00741326063871
Bulgaria,71.2209589041,81.1286575342,101.827369863,120.45715847,148.47169863,172.552876712,189.468821918,196.510655738,207.978164384,216.241753425,229.282465753,238.032021858,248.337753425,255.434191781,262.83430137,271.335655738,242.990136986,236.080273973,229.248,220.344508197,201.853123288,212.826931507,204.883506849,216.956393443,212.913068493,140.955671233,88.7990958904,81.9362021858,95.0786575342,92.198630137,100.440849315,90.240136612,87.2890958904,92.1476712329,85.1573150685,86.7851912568,90.1633424658,88.4199452055,94.7892328767,91.8899453552,101.649123288,105.181342466,102.805972603,102.415218579,91.5566575342,81.5403013699,79.647890411,81.7061748634,85.7006923149,0.0415401086211,0.00097067118622
Czech Republic,78.083369863,85.892,95.4989863014,105.56057377,113.458246575,136.728712329,151.180219178,164.674344262,184.897013699,188.955123288,208.071534247,218.724071038,229.688739726,237.850465753,241.890986301,224.648770492,222.378547945,206.054712329,201.924191781,215.622978142,211.743972603,205.103780822,205.393479452,197.994508197,189.619890411,173.577068493,142.951972603,137.994754098,140.256410959,146.891260274,167.389835616,175.040163934,168.545561644,173.656219178,173.09509589,167.453879781,177.250986301,172.458054795,184.286958904,201.818907104,210.166657534,206.831041096,205.085150685,208.720355191,204.361808219,194.650054795,193.13109589,190.961120219,183.636397105,-0.0393255501985,0.00204357272014
Denmark,203.07509589,230.798219178,244.596767123,264.502295082,316.913205479,351.517506849,347.644821918,366.510765027,342.181041096,309.32569863,306.491013699,326.07931694,326.498684932,327.845232877,314.270630137,268.799726776,254.790136986,220.737589041,209.829424658,207.107404372,214.102383562,211.281315068,195.93969863,193.205327869,187.00509589,183.922630137,186.79369863,184.976256831,193.775369863,205.539287671,215.329260274,234.015928962,227.092191781,220.166684932,218.732547945,210.684808743,202.821506849,196.188164384,188.319506849,184.831584699,187.137232877,190.21090411,191.157369863,188.065655738,169.351972603,170.968794521,168.352136986,159.290632975,159.754976935,0.00499809160829,0.00187231530435
Finland,110.827616438,134.808767123,141.582328767,159.898306011,185.00109589,207.930246575,215.671506849,228.47636612,255.558273973,223.808054795,231.938986301,247.472076503,245.356739726,247.020328767,260.893780822,251.727923497,241.745589041,224.599232877,209.509534247,211.905245902,215.017150685,225.398849315,226.196273973,225.438442623,226.052684932,225.79539726,218.372630137,213.436612022,204.256246575,214.312986301,206.625041096,214.207595628,211.328,219.144027397,222.707808219,220.108251366,218.180273973,222.012684932,234.982410959,220.670655738,228.947945493,221.648137844,222.610148084,221.561713548,209.126190955,219.102452125,203.524811747,190.482608633,187.88985471,-0.0167183894664,0.00211826316081
France,1069.84512329,1150.11991781,1320.61178082,1423.91095628,1647.97786301,1866.60783562,2029.56761644,2245.78161202,2507.92649315,2383.70717808,2190.19326027,2358.36803279,2281.35794521,2400.15819178,2389.70934247,2221.29672131,2024.5749589,1884.49156164,1851.11610959,1787.61486339,1770.03369863,1810.53347945,1824.89010959,1808.03382514,1857.62167123,1894.90578082,2001.27490411,1995.76677596,1925.52753425,1864.2349863,1879.2989863,1916.48718579,1936.28427397,2002.53819178,2030.20235616,1994.09590164,2009.87731507,1953.40405479,1951.50109589,1963.27781421,1946.1515589,1942.24799178,1911.41778356,1889.15222404,1822.3043726,1762.87179726,1741.93619775,1688.64830761,1683.26787214,-0.00563956657425,0.0191953610629
Germany,1714.15315068,1922.30287671,2005.07186301,2240.97172131,2529.7309863,2774.23117808,2899.47789041,3048.40920765,3261.79158904,2969.52665753,2887.11317808,3110.80229508,3085.09367123,3234.43684932,3341.77175342,3019.85019126,2759.02424658,2613.98627397,2569.36350685,2560.65715847,2648.83460274,2784.00139726,2725.23145205,2727.50871585,2576.12775342,2688.86668493,2815.23016438,2832.23166667,2886.4699726,2863.89668493,2865.06367123,2904.89180328,2900.05136986,2902.3290137,2810.1969863,2745.89494536,2786.80715068,2696.60317808,2648.15268493,2619.02081967,2591.50260274,2609.16906849,2380.41619178,2502.10081967,2408.75553425,2444.8530411,2368.72939726,2355.77666667,2381.50852055,0.00852550659329,0.0267813466489
Greece,84.972,93.0766575342,109.51709589,112.585163934,120.318082192,130.213534247,143.715643836,165.309262295,192.92169863,180.155972603,191.474054795,203.747896175,208.826712329,228.244383562,241.11090411,246.21295082,231.692383562,236.781506849,226.927671233,232.236393443,242.103232877,245.161479452,266.249342466,274.191174863,297.717232877,313.845589041,316.07030137,321.388961749,333.895150685,338.073753425,352.646356164,365.815136612,372.160273973,367.008191781,374.410931507,397.31431694,403.654383562,405.991369863,396.000876712,426.454672131,423.667863014,442.40890411,434.673150685,424.60647541,405.289506849,365.304643896,347.112822751,310.180136612,286.856962149,-0.0705068409443,0.0033549121581
Hungary,73.1224657534,80.9245205479,86.0606575342,90.2286338798,101.01169863,117.526273973,132.698712329,144.068770492,163.105315068,178.353780822,202.53509589,212.471147541,225.917232877,249.261561644,236.213424658,230.513060109,221.395479452,210.487863014,199.956684932,207.731612022,212.135013699,197.396547945,206.554876712,192.34431694,188.365479452,195.462849315,166.279232877,168.251502732,160.099726027,166.942273973,156.831726027,145.336120219,148.091808219,154.668493151,148.555013699,143.559808743,140.927753425,139.252465753,131.306164384,135.852377049,157.782273973,168.301671233,168.402520548,163.683879781,153.543041096,146.14030137,140.308012557,128.37770378,130.77393878,0.0164496023208,0.00143268692773
Republic of Ireland,46.7235068493,52.3638630137,58.7184383562,65.0539617486,71.2207945205,79.6451506849,88.136739726,96.5680874317,104.828849315,103.845315068,101.660191781,103.069781421,110.560547945,119.945972603,125.55290411,112.976448087,101.447726027,89.9283835616,81.7883013699,80.1897814208,80.2420821918,97.8501643836,86.668,79.5039617486,82.1297534247,90.396630137,98.7213972603,103.001994536,104.618767123,113.839315068,116.226164384,121.896174863,133.128191781,149.310657534,168.823013699,166.592814208,181.530109589,178.630082192,174.658465753,180.512185792,190.662438356,191.022246575,194.956794521,187.225655738,166.383928767,158.435232877,140.836246575,134.153797814,140.324322197,0.0468661524355,0.0016125041293
