Primary Energy: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,34.5300527573,39.4306192512,40.2546519266,40.8369093022,39.577328295,38.1067353806,37.7536039023,35.9046956078,28.7282772061,23.9509572562,21.7050474299,22.2954874105,22.6643457927,22.1527179719,21.3981449829,22.0797470518,21.8272556272,22.5527127585,22.4812384765,24.3567997014,24.1713077932,26.0203694796,25.0666446212,25.302181075,23.8920527498,25.3759991641,25.1859674868,25.2457704839,25.2893404,0.00447028456256,0.00198652688414
Belgium,35.2338902906,33.9268302428,35.6130924149,39.698867569,43.5447032899,45.9602356968,45.0651748884,47.922770722,48.5795151298,46.9033278785,43.892938008,46.5171814828,46.5728559768,48.5949525252,50.0544854434,47.9307784452,45.5682702136,43.5840403872,42.0586084338,43.9129711548,45.74540155,47.1515315149,48.5686712382,49.5195769497,49.9348207996,52.5118490047,54.5292185329,54.8267079608,53.5361123682,56.0565348292,56.6974783693,60.4879719207,61.2988031519,62.6944043095,61.8573735182,63.4046003416,62.4619000791,62.5910507726,65.3067604274,65.1457483469,64.6880500187,64.7623868382,64.9632013257,67.6939146188,62.6202947523,66.7880203364,63.7858471626,60.2522136702,61.6693231631,0.026323787868,0.0048442450352
Bulgaria,10.206,10.946,12.737,14.271,15.882,17.852,18.545,19.083,19.822,20.414,22.544,23.826,25.091,26.012,26.998,28.46,28.011,28.692,28.844,28.672,28.53,29.12,29.339,29.95,30.267,24.5776,20.1255,18.455,19.9872,19.5074,21.3853,21.4261,20.4217179391,19.5883618364,17.499544988,18.1343896592,18.924896624,18.3440997194,19.4412531837,19.1075026384,19.640535308,20.1499500928,19.5948355569,19.4975692945,17.0804762275,17.8410823596,19.1102416165,18.0710878445,17.0927378167,-0.0515475682914,0.00134266773239
Czech Republic,40.119,40.439,39.794,41.484,43.335,45.232,47.467,47.762,48.034,48.518,50.451,51.945,53.84,54.627,55.252,53.899,53.317,52.647,52.279,53.939,53.502,54.12,55.265,55.522,53.741,49.976,45.867,40.509,39.1420067883,39.3659189935,41.3646413993,43.0830723175,41.8317798796,39.9878234602,38.629545866,40.123984206,41.6153053808,41.5812324297,43.6647798796,45.424994325,45.1733603838,46.0665095895,45.696184672,44.3872914757,42.0133351584,43.8178852423,43.1552898266,42.4330338871,41.9127477115,-0.00955521408468,0.00329232774675
Denmark,12.497,14.234,14.76,16.159,18.612,20.322,19.399,20.415,19.426,18.094,18.236,19.276,20.079,20.108685682,20.102371364,19.528399887,18.230399887,16.7202283723,15.906661071,16.7150552911,18.3658939204,18.8842472478,18.1655266225,18.1867731513,16.5834260471,17.0780083374,19.8599657869,18.3455420487,19.6064354025,21.0739470383,20.7611422139,24.7261648331,22.4338342377,21.4705325331,20.8357361587,20.0471686616,20.0471592426,19.9188048997,21.4087412613,20.4614322771,19.5653445918,21.6602814074,20.5883231072,19.8126170643,18.5119106027,19.4924233142,18.4675255625,17.196111457,18.0549875283,0.0528225116432,0.0014182543382
Finland,9.876,11.174,11.718,12.776,14.15,15.37,15.761,15.889,17.582,16.76,17.134,18.273,19.17,19.842,21.337,21.248,21.135,20.543,20.946,21.282,22.158,22.343,23.773,23.5,23.374,24.2949200177,25.4441438933,25.1434422944,25.4318024595,26.7233198233,25.7686316665,27.1336706756,27.1106562675,27.7010780825,27.7275407576,28.094302887,28.5114009575,28.5292397574,30.7194553546,30.7864526657,28.4413469581,29.7678275898,29.7668615665,29.0288688558,26.9558840977,29.2160098401,27.1879896438,26.4763848661,26.1142594869,-0.0109750432894,0.00205132574774
France,114.778021949,116.532721772,125.03772856,131.335910305,144.615909988,155.788658325,161.222993121,171.595194031,186.898220392,184.941360139,171.88830649,183.343566185,186.454019595,193.018071073,194.551789293,191.118025365,189.114602322,185.068929131,185.613917274,193.048119518,195.757537811,202.000956012,206.069661583,206.900932299,212.156493596,219.658694335,231.971133956,234.287595109,233.54424931,230.700246151,236.854351474,245.163542572,241.618411623,247.749561701,252.23148795,255.244487679,258.666950575,256.644909765,260.606057863,264.723943897,262.949305067,261.701753935,258.00979924,258.777431766,244.946803951,253.329776157,245.038507296,245.294807749,248.372199586,0.0153197841719,0.0195101182908
Germany,256.112418609,256.326506404,255.302002851,272.485820157,293.724018011,309.573611703,311.086081239,320.799681979,339.665338743,331.396597864,319.869548034,340.18830127,341.16747525,352.189025383,371.338356608,355.864785668,343.8514479,333.59324207,333.99958034,347.80513373,358.856335959,359.837640167,360.957718942,362.232887361,354.524799451,349.561855999,340.078275241,335.706048332,333.537308549,331.250516179,333.282255781,344.245107526,338.55556433,335.730967281,329.984441915,333.006614608,338.747501063,334.03686514,336.977675657,337.217104539,333.179171904,339.623905186,324.563845484,326.863021788,307.80175161,322.5212201,307.519995414,317.065847284,325.02048084,0.0278967302293,0.0255309902132
Greece,6.73,7.37,8.11,8.425,8.898,9.896,11.797,13.237,15.238,14.825,16.903,18.673,19.36,19.666,17.238,17.215,16.598,16.675,16.825,17.626,18.729,18.775,20.5622262751,21.7752262751,23.5312262751,24.3569525501,24.3935525501,24.9008364755,25.5087612029,26.0358984523,26.8818196271,27.2545459022,28.1617721772,28.8522795194,29.6834172348,31.786253972,32.0674105951,32.1310900816,32.1863805575,34.2737900615,34.0114216994,35.2344792585,35.0721229673,34.6212697393,33.3972291126,31.3767451738,30.7497979068,29.2709002022,27.2422986902,-0.06675452739,0.00213993550278
Hungary,15.652,15.921,15.139,15.704,16.789,17.929,18.561,19.043,20.561,21.108,22.386,23.925,25.053,26.737,26.438,26.385,26.114,26.206,25.727,26.33,28.04,27.852,29.109,28.253,27.645,27.3183,25.8532,23.9287,23.7788,24.5175,24.6475102005,25.2936102005,24.6290627506,24.6734839254,24.4349364755,23.6004627506,24.2645941259,23.8709415758,24.3300420329,24.4114554923,24.9177207131,23.8700344661,26.3457024345,27.0168520602,25.2020964477,24.9884329748,22.6288823163,21.9969033836,20.4180509932,-0.069233044982,0.00160387752112
