Renewable energy -  Biofuels production,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08796,0.403581176471,1.09173882353,1.41253411765,2.21452235294,3.48735529412,4.77723730733,6.73005420725,8.19931113983,8.34938504915,0.0183032338654,0.00636283466714
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08796,2.93372470588,7.94227058824,9.87739058824,12.4851458824,16.9961401064,18.1011190008,21.9570256027,22.576496867,28.9356433876,32.0756169283,34.6303835487,33.7446029976,-0.0255781328517,0.0257158255989
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65054352941,1.70745882353,1.82128941176,1.87820470588,1.99203529412,2.28178588235,2.68536705882,2.73710823529,3.11000519769,3.50323912651,3.11072914424,3.85404940622,4.53788424976,6.45347848187,0.422133780123,0.00491801687985
Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176642958904,0.883214794521,4.32775249315,10.5696196721,9.32247710234,14.4256342066,22.1784356944,27.7938402797,32.2860617599,0.161626512746,0.0246043117932
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017592,0.035184,0.08796,0.17592,0.79164,1.49532,2.81472,6.89581096438,9.85115852055,6.18250356164,5.43984948751,6.06225139726,0.114415281374,0.00461987357444
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569152941176,1.03482352941,1.60397647059,2.76297882353,9.89315799294,12.4195917964,13.2709815146,14.473625211,19.8974256625,25.1166767671,0.26230785797,0.0191407224264
Other Asia Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19358429589,2.12793136777,3.93905358704,7.71674893478,8.46804786735,6.37021142741,5.3683338079,7.75067304018,9.88951648223,0.275955833895,0.0075365260967
Total Asia Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65054352941,1.79541882353,4.77260611765,9.85565929412,12.1022611765,16.7514837254,26.1800086216,34.7758662575,58.2757997532,66.6730190181,80.7415955084,90.8626188167,108.249367408,121.901972935,0.126121804255,0.0928981110367
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,142.447730097,158.630808675,153.356328269,156.282900972,176.265911562,180.107373491,185.734622733,209.298438329,196.819328874,193.483174624,183.755357795,201.230384965,237.551217776,294.824976834,329.34569531,395.60389883,515.615747152,699.440833566,930.234605726,1043.14463847,1195.89093914,1218.55225982,1236.61366549,1312.21153557,0.0611329732091,1.0
                OECD,27.7590702981,32.1641581305,37.4648819668,44.5619351381,50.8706909978,55.8464369434,44.5414299344,57.4580144055,60.2775430745,65.0438722078,76.5945331765,86.1082257219,106.575240232,139.762617565,170.666482413,216.450237258,301.618166206,417.276370885,558.699848858,660.587915259,761.96973863,803.496188227,795.745419344,819.542206345,0.0299050254285,0.62455037479
                Non-OECD,114.688659799,126.466650544,115.891446302,111.720965834,125.395220564,124.260936548,141.193192798,151.840423924,136.5417858,128.439302417,107.160824619,115.122159244,130.975977544,155.062359269,158.679212897,179.153661572,213.997580946,282.164462681,371.534756868,382.556723207,433.921200507,415.056071588,440.868246145,492.669329227,0.11749787728,0.37544962521
                European Union,0.0,0.0,0.99399691379,1.70549832909,3.01662356828,5.44131687897,8.49818711861,9.62733682288,8.11350652332,9.68556223194,14.4202658824,17.8584670588,24.2200447059,32.5146727059,40.611132,62.9162357647,100.533292434,135.508160411,161.745620698,202.724147383,221.909920159,204.269343457,218.787500588,215.793548413,-0.0136842925995,0.164450275404
                Former Soviet Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224556705882,0.434625882353,0.566048470588,1.00326141176,2.59740705882,4.22366696567,3.6562627345,3.19009387165,3.67709640849,3.87463729122,0.0537219753811,0.00295275356616
,,,,,,,,,,,,,,,,,,,,,,,,,,"Source: Includes data from F.O. Licht, US Energy Information Administration."
♦ Less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Consumption of fuel ethanol and biodiesel is included in oil consumption tables. 

",,,,,,,,,,,,,,,,,,,,,,,,,,
Annual changes and shares of total are based on data expressed in tonnes oil equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth rates are adjusted for leap years.,,,,,,,,,,,,,,,,,,,,,,,,,,
