Oil: Regional consumption - by product group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light distillates,1633.67397126,1860.4997545,2136.18398244,2284.23717434,2504.64507767,2674.49065511,2916.96068493,3161.18142077,3380.17547945,3304.23534247,3284.76534247,3478.96352459,3444.87671233,3814.95700392,3871.06115975,3684.29304148,3539.87383873,3589.90080408,3667.73985699,3699.79715785,3676.7363798,3866.81212986,3944.87316107,4090.94803849,4180.13638396,4330.68573749,4247.30429814,4283.86268619,4201.71463847,4246.43895868,4373.996685,4358.69616493,4417.66521414,4450.18376209,4412.92628923,4309.28687772,4208.74273762,4130.6475226,4033.39571474,3992.53446565,3890.44316342,3757.35281208,3683.04100517,3480.72592954,3405.00197707,3349.66124654,3125.23024235,3001.8747552,2940.85372779,-0.0203276393531,0.20877741306
Middle distillates,2510.50710195,2777.60289579,3030.16332557,3429.44007003,3912.22583563,4469.1088089,4756.80630137,5095.22846995,5528.01260274,5016.25928767,5070.30021918,5487.97956284,5589.02630137,5852.24882192,5928.92854795,5471.94786885,5174.90279452,4987.56021918,4980.58065753,5163.99781421,5246.69775342,5478.89139726,5533.9650411,5575.33672131,5532.61347945,5618.65736986,5760.00810959,5789.81595628,5858.88673973,5868.21309589,6025.89254795,6360.72314644,6432.1775002,6634.84122499,6674.19333184,6711.3364877,6998.60948346,6939.23927866,7129.00338059,7338.46115333,7526.61200061,7703.49228534,7583.38947371,7802.14379247,7532.18028564,7547.74021921,7524.20695741,7413.29266737,7438.54561662,0.00340644169575,0.528078053012
Fuel oil,2953.12874879,3138.04473973,3327.74519644,3585.18029206,3999.85510966,4457.35154332,4565.8239726,4826.08674863,5126.93780822,4876.6260274,4468.81684932,4732.03387978,4488.70191781,4521.51726027,4657.17630137,4224.08825137,3765.40671233,3349.76191781,2934.40863014,2773.74153005,2629.3209589,2648.0,2534.48876712,2460.80969945,2438.65479452,2398.72410959,2324.87109589,2259.06092896,2223.56205479,2155.02684932,2166.80465753,2143.43247654,2094.1129972,2090.89910136,1992.96855438,1831.63742633,1865.0233382,1865.53092325,1830.96317763,1750.57508889,1746.34185188,1711.30524277,1610.84679691,1545.38344509,1378.24846396,1256.30134469,1188.89316274,1059.59534522,957.177226603,-0.0966577657051,0.0679520315211
Others,1144.7975156,1268.31910821,1338.70001034,1483.06745913,1657.45151135,1769.3751451,1798.75323288,1910.94718579,2088.69169863,1995.23975342,1882.47739726,1975.53008197,2069.8570137,2163.69843444,2287.97615532,2238.68920989,2170.28612018,2077.95003154,2155.61536219,2212.35384762,2177.61372979,2276.37930848,2367.13544165,2449.3119998,2453.35234208,2429.06571461,2399.21208542,2555.66837938,2561.24389578,2642.67582214,2681.61405473,2712.57751266,2845.75058038,2870.79597764,2868.50260118,2952.00929905,2984.72958032,3042.57643877,3080.12543733,3140.76500285,3194.28940282,3241.48453688,3211.80682495,3144.29452342,2978.16654868,2949.81268401,2877.56275926,2727.85421595,2749.49566618,0.00793350689287,0.195192500388
Total Europe,8242.1073376,9044.46649822,9832.79251479,10781.9249956,12074.1775343,13370.3261524,14038.3441918,14993.4438251,16123.817589,15192.360411,14706.3598082,15674.5070492,15592.4619452,16352.4215205,16745.1421644,15619.0183716,14650.4694658,14005.1729726,13738.3445068,13849.8903497,13730.3688219,14270.0828356,14380.4624109,14576.4064591,14604.757,14777.1329316,14731.395589,14888.4079508,14845.4073288,14912.354726,15248.3079452,15575.4293006,15789.7062919,16046.7200661,15948.5907766,15804.2700908,16057.1051396,15977.9941633,16073.4877103,16222.3357107,16357.6864187,16413.6348771,16089.0841007,15972.5476905,15293.5972754,15103.5154944,14715.8931218,14202.6169837,14086.0722372,-0.00820586422143,0.999999997981
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Soviet Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light distillates,600.001530411,642.560261918,700.763976986,748.601911475,802.883051507,871.720979178,910.647448767,982.111765574,1056.63812055,1132.43423671,1279.23450904,1298.36803279,1429.40447014,1533.08328066,1561.46210984,1634.42808554,1655.76378998,1646.71072027,1626.12008866,1625.83249757,1633.53107411,1640.63921494,1651.10919195,1641.89042361,1653.17872572,1652.66390462,1602.80700414,1413.94330601,1170.32657534,1140.18671233,1082.53861644,997.296491803,1027.83257534,992.53260274,985.290493151,942.882103825,1001.31712329,1047.0230137,1079.08972603,1081.12985386,1097.3804863,1137.69159452,1205.61401708,1263.85034153,1233.63338713,1292.2042178,1297.16742406,1337.52383815,1362.23339373,0.0184741048166,0.298804120152
Middle distillates,1247.15754325,1335.66822365,1456.6526642,1556.090352,1668.8939399,1812.00124958,1892.88798983,2041.46368289,2196.38610069,2360.00315362,2513.07727673,2612.25230164,2805.03385604,3014.91351794,3008.42874844,3085.72519419,3063.68482944,2986.5967805,2891.17200827,2833.98611409,2774.95748383,2732.89194107,2696.95319357,2616.11437848,2583.41961252,2558.35351646,2427.74159389,2105.25819672,1539.49457534,1306.08131507,1185.79627397,1081.06229508,1093.13441096,1024.14887671,1020.76816438,1010.66825137,1031.86339726,1045.36410959,1089.39479452,1123.53478896,1152.26217534,1203.05003523,1284.55148466,1344.87335867,1221.29872109,1334.34139548,1481.48149896,1539.58624439,1573.04280425,0.0217308773594,0.345044889701
