Natural Gas: Consumption*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Billion cubic metres,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,0.0702206936085,0.126731632751,0.48299417216,1.17502627305,2.42046431642,3.7978169485,5.23691124486,6.60299035063,7.93658641445,9.3013040986,9.19028852584,9.70779593007,9.55092194516,9.4701920321,10.3473058183,9.90078341454,9.13160408904,7.61309353205,7.91141205694,8.16380051591,8.20330562721,7.3655297602,8.12233686825,8.01624152097,8.90840259864,9.076717302,9.70500143308,10.0552450559,10.4518008981,10.747324926,11.7899350339,13.128522977,12.5163370593,13.8602990351,14.8165424668,14.8539457342,14.6441912678,14.8643832999,16.0022212668,16.1888793351,16.3642399924,16.6695805866,16.587250406,16.4868395911,16.7908426483,18.84429636,16.6038030333,16.9269830168,16.82005353,-0.00359468371607,0.00501197390258
Bulgaria,0.0611111111111,0.0911111111111,0.276666666667,0.424444444444,0.441111111111,0.397777777778,0.274444444444,0.185555555556,0.186666666667,0.406666666667,1.08,1.88777777778,2.40888888889,2.57,2.75,3.53444444444,3.84444444444,4.25444444444,4.47,4.7,5.12555555556,5.09111111111,5.67777777778,5.51444444444,6.30777777778,5.92,5.03888888889,4.32555555556,4.12333333333,4.08333333333,4.96555555556,5.16555555556,4.11,3.47666666667,2.98444444444,3.25777777778,3.04222222222,2.67,2.77777777778,2.76888888889,3.12066494698,3.21553453712,3.24056558708,3.24078054839,2.31811884972,2.55304767364,2.92294831375,2.72401356645,2.63150855068,-0.0313123986125,0.00078412663424
Czech Republic,0.323333333333,0.358888888889,0.43,0.525555555556,0.664444444444,0.845555555556,0.958888888889,1.06333333333,1.15111111111,1.40222222222,1.53,1.78333333333,2.25444444444,2.53888888889,2.88111111111,3.67333333333,3.47222222222,3.61,3.69222222222,4.14222222222,4.12111111111,4.50111111111,4.86888888889,4.93444444444,5.08,5.40666666667,5.92555555556,5.79888888889,5.92555555556,6.34222222222,7.25666666667,8.39444444444,8.53222222222,8.53888888889,8.60666666667,8.34666666667,8.93777777778,8.70666666667,8.71222222222,9.11,9.492,9.292,8.651,8.688,8.184,9.28,8.413,8.188,8.424989,0.0317624770105,0.00251044519246
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144444444444,0.113333333333,0.644444444444,1.14777777778,1.45666666667,1.77666666667,1.89444444444,2.01888888889,2.330533768,2.450475898,2.753699686,3.077030563,3.562993198,4.19711694,4.385507,4.728823232,4.958626019,4.893942526,5.114136207,5.101877685,5.17342175,5.170815172,4.978534899,5.088771096,4.555404244,4.589882679,4.410490443,4.989074,4.178619,3.89893717237,3.73041325454,-0.040601734072,0.00111157388892
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437777777778,0.725555555556,0.851111111111,0.802222222222,0.937777777778,0.943333333333,0.88,0.698888888889,0.688888888889,0.642222222222,0.73,0.933333333333,1.13333333333,1.50333333333,1.60888888889,2.13666666667,2.50555555556,2.64444444444,2.74333333333,2.84,3.05666666667,3.16666666667,3.30666666667,3.23777777778,3.71777777778,3.66222222222,3.74888888889,4.06222222222,4.03444444444,4.48888888889,4.32597687972,3.95815419891,4.23043852107,3.91325117034,4.0011464603,3.57122384637,3.94573421229,3.45084551447,3.05197286711,2.84112501725,-0.0665353015065,0.00084658729611
France,5.54333333333,5.84888888889,6.61,7.87666666667,9.48111111111,10.2922222222,12.3711111111,14.6988888889,17.4444444444,19.1111111111,18.8888888889,21.1111111111,22.6666666667,23.2222222222,25.8888888889,26.2222222222,27.2222222222,26.6666666667,24.6666666667,26.0888888889,25.8444444444,26.9,27.7777777778,26.2222222222,27.1111111111,29.3333333333,30.5555555556,31.4444444444,32.2588888889,30.8744444444,32.60862,35.71666,34.20736,36.771794,37.658497,39.1824686,41.6596126,40.673786,43.21156,45.074492,44.752938,43.66478,42.423112,43.804014,41.776822,46.863636,40.482866,42.233482,42.833762,0.0169920343906,0.0127634368837
Germany,2.91111111111,3.49888888889,4.51,7.41222222222,10.5555555556,15.0122222222,19.8322222222,25.6777777778,33.1122222222,41.4233333333,43.7144444444,46.2655555556,49.1322222222,52.6688888889,58.2188888889,57.3966666667,54.8788888889,50.9244444444,52.9433333333,55.2888888889,54.6488888889,54.49,59.0777777778,58.16,59.5233333333,59.9222222222,62.8911111111,63.0266666667,66.3888888889,67.9366666667,74.4455555556,83.6022222222,79.1833333333,79.6988888889,80.1544444444,79.4677777778,82.89,82.5977777778,85.5433333333,85.8622222222,86.2499071155,87.178752269,82.9060645627,81.2341432863,78.0229928983,83.3041410571,74.5199197478,78.3679925268,83.6491406855,0.0703134462237,0.0249254442751
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855555555556,0.08,0.0988888888889,0.111111111111,0.15,0.151111111111,0.154444444444,0.137777777778,0.141111111111,0.103333333333,0.0222222222222,0.0233333333333,0.0322222222222,0.186666666667,0.8354016,1.497816,2.0104488,1.9840788,2.1338604,2.4123276,2.6517672,2.67,3.148,3.71336695297,3.89045831694,3.27103223431,3.58171382227,4.4166779092,4.05631583568,3.57915685641,-0.115216143429,0.001066503115
Hungary,1.05555555556,1.43333333333,1.85,2.38333333333,2.84444444444,3.03888888889,3.24,3.40777777778,4.05222222222,4.24888888889,4.84444444444,5.93,6.28666666667,6.84888888889,7.26555555556,7.78,7.98333333333,8.34222222222,8.34222222222,8.39555555556,9.56666666667,10.1033333333,10.08,9.82555555556,10.2066666667,9.62666666667,9.60111111111,8.23,8.96222222222,9.36666666667,10.1777777778,11.3555555556,10.7888888889,10.8555555556,11.0,10.7222222222,11.9,11.83,13.2033333333,13.099117,12.209386,10.750512,13.067465,14.011046541,12.725504312,12.573283555,10.305574404,10.244617576,8.56142,-0.162011086941,0.00255109835416
Republic of Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286666666667,0.837777777778,1.26,1.84888888889,2.0,2.11888888889,2.18222222222,1.53888888889,1.53333333333,1.83888888889,2.08555555556,2.08555555556,2.13666666667,2.11333333333,2.40111111111,2.44222222222,2.59888888889,2.95222222222,3.08555555556,3.12,3.33666666667,3.82555555556,3.99,4.09555555556,4.06555555556,4.05888888889,3.86333333333,4.38555555556,4.76111111111,4.98777777778,4.74888888889,5.21333333333,4.58333333333,4.47,4.45333333333,-0.00099904998206,0.00132698682137
