Natural Gas: Consumption*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0.055,0.082,0.249,0.382,0.397,0.358,0.247,0.167,0.168,0.366,0.972,1.699,2.168,2.313,2.475,3.181,3.46,3.829,4.023,4.23,4.613,4.582,5.11,4.963,5.677,5.328,4.535,3.893,3.711,3.675,4.469,4.649,3.699,3.129,2.686,2.932,2.738,2.403,2.5,2.492,2.80859845228,2.8939810834,2.91650902837,2.91670249355,2.08630696475,2.29774290628,2.63065348237,2.4516122098,2.36835769561,-0.0313123986125,0.00078412663424
Czech Republic,0.291,0.323,0.387,0.473,0.598,0.761,0.863,0.957,1.036,1.262,1.377,1.605,2.029,2.285,2.593,3.306,3.125,3.249,3.323,3.728,3.709,4.051,4.382,4.441,4.572,4.866,5.333,5.219,5.333,5.708,6.531,7.555,7.679,7.685,7.746,7.512,8.044,7.836,7.841,8.199,8.5428,8.3628,7.7859,7.8192,7.3656,8.352,7.5717,7.3692,7.5824901,0.0317624770105,0.00251044519246
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.102,0.58,1.033,1.311,1.599,1.705,1.817,2.0974803912,2.2054283082,2.4783297174,2.7693275067,3.2066938782,3.777405246,3.9469563,4.2559409088,4.4627634171,4.4045482734,4.6027225863,4.5916899165,4.656079575,4.6537336548,4.4806814091,4.5798939864,4.0998638196,4.1308944111,3.9694413987,4.4901666,3.7607571,3.50904345513,3.35737192908,-0.040601734072,0.00111157388892
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394,0.653,0.766,0.722,0.844,0.849,0.792,0.629,0.62,0.578,0.657,0.84,1.02,1.353,1.448,1.923,2.255,2.38,2.469,2.556,2.751,2.85,2.976,2.914,3.346,3.296,3.374,3.656,3.631,4.04,3.89337919175,3.56233877902,3.80739466896,3.52192605331,3.60103181427,3.21410146174,3.55116079106,3.10576096303,2.7467755804,2.55701251552,-0.0665353015065,0.00084658729611
France,4.989,5.264,5.949,7.089,8.533,9.263,11.134,13.229,15.7,17.2,17.0,19.0,20.4,20.9,23.3,23.6,24.5,24.0,22.2,23.48,23.26,24.21,25.0,23.6,24.4,26.4,27.5,28.3,29.033,27.787,29.347758,32.144994,30.786624,33.0946146,33.8926473,35.26422174,37.49365134,36.6064074,38.890404,40.5670428,40.2776442,39.298302,38.1808008,39.4236126,37.5991398,42.1772724,36.4345794,38.0101338,38.5503858,0.0169920343906,0.0127634368837
Germany,2.62,3.149,4.059,6.671,9.5,13.511,17.849,23.11,29.801,37.281,39.343,41.639,44.219,47.402,52.397,51.657,49.391,45.832,47.649,49.76,49.184,49.041,53.17,52.344,53.571,53.93,56.602,56.724,59.75,61.143,67.001,75.242,71.265,71.729,72.139,71.521,74.601,74.338,76.989,77.276,77.6249164039,78.4608770421,74.6154581064,73.1107289577,70.2206936085,74.9737269514,67.067927773,70.5311932741,75.284226617,0.0703134462237,0.0249254442751
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.072,0.089,0.1,0.135,0.136,0.139,0.124,0.127,0.093,0.02,0.021,0.029,0.168,0.75186144,1.3480344,1.80940392,1.78567092,1.92047436,2.17109484,2.38659048,2.403,2.8332,3.34203025767,3.50141248525,2.94392901088,3.22354244004,3.97501011828,3.65068425212,3.22124117077,-0.115216143429,0.001066503115
Hungary,0.95,1.29,1.665,2.145,2.56,2.735,2.916,3.067,3.647,3.824,4.36,5.337,5.658,6.164,6.539,7.002,7.185,7.508,7.508,7.556,8.61,9.093,9.072,8.843,9.186,8.664,8.641,7.407,8.066,8.43,9.16,10.22,9.71,9.77,9.9,9.65,10.71,10.647,11.883,11.7892053,10.9884474,9.6754608,11.7607185,12.6099418869,11.4529538808,11.3159551995,9.2750169636,9.2201558184,7.705278,-0.162011086941,0.00255109835416
Republic of Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.754,1.134,1.664,1.8,1.907,1.964,1.385,1.38,1.655,1.877,1.877,1.923,1.902,2.161,2.198,2.339,2.657,2.777,2.808,3.003,3.443,3.591,3.686,3.659,3.653,3.477,3.947,4.285,4.489,4.274,4.692,4.125,4.023,4.008,-0.00099904998206,0.00132698682137
Italy,7.274,8.175,8.672,9.699,11.152,12.281,12.543,12.301,14.4,15.77,18.0,21.978,21.59,22.5,22.904,22.9,22.8,22.031,22.6,26.458,27.22,28.876,32.175,34.176,36.875,39.086,41.537,41.148,42.13,40.76,44.868,46.387,47.833,51.5,55.976,58.365,58.525,58.128,64.087,66.502,71.169,69.698,70.039661175,70.0288719244,64.369538844,68.5550321208,64.2816363265,61.8049144156,57.8066706382,-0.062128867954,0.0191388949752
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.53407636955,9.12218903949,9.52964617081,9.93710330212,10.262098874,10.9382836828,11.4844702597,11.8104359664,11.3214874105,8.95920619023,9.44815474617,4.04346708391,4.85788573217,3.66514051183,5.18784858999,5.68075439215,6.82805634915,7.31467431492,7.93104886535,6.00137430475,7.63924074266,8.12923983888,8.33758832449,8.01242237949,7.74000001892,8.12389382517,8.64749323381,9.39779187818,10.273578207,0.0961856916547,0.00340142287314
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.77,3.778,3.946,4.114,4.366,5.029,4.869,2.687,1.511,1.763,2.099,2.267,2.376,2.081,2.167,2.451,2.546,2.574,2.795,2.780273484,2.939284584,2.91251376,3.25359,2.92041,2.4543,2.8053,3.0573,2.98674,2.43486,-0.182543218136,0.00080614449689
Netherlands,1.28662224133,2.46589997134,4.33838134136,7.31681355689,10.7820758097,15.1741294067,19.8269848094,25.7936765549,28.6738356263,30.528174262,31.8200881341,33.0613535397,33.1807932072,33.2533641445,33.0999068501,30.2605689309,28.80537045,27.5164803669,29.4267591,31.253127687,32.9434257667,32.8602715678,33.9102823158,30.6733161364,31.4368228719,31.1291523359,34.776597879,33.8452708512,34.8794067068,33.6850100315,34.6443071081,38.1753367727,35.8538227286,35.616455288,34.670009315,35.0864622146,36.0193751791,35.8356799943,36.0193751791,36.7722986529,35.3556534824,34.2776726856,33.3161077673,34.7244375179,35.0011142161,39.2366962836,34.2505015764,32.793541607,33.3667717589,0.0202675871551,0.0110472226515
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.576,0.658,0.707,0.869,0.938,1.056,1.016,1.071,1.18,1.299,1.636,1.812,1.919,2.162,2.327,2.448,2.628,2.653,2.88,3.326,3.397,3.245,3.643,3.376,3.603,3.882,4.105,4.0129424739,3.957567948,3.83346,3.8956689,3.7204848,3.7021275,3.9057048,3.93156,3.9746466,0.0137289119884,0.00131594401319
Poland,1.47308684437,1.75113929493,2.13996130696,2.9399828031,4.07603181427,5.19853826311,5.71732588134,6.0160361135,6.25664230439,6.43114789338,6.88701633706,7.34823731728,7.796711092,8.20769561479,8.56092003439,8.77246345658,8.2744411006,8.27098022356,8.45997420464,8.80064488392,8.92590283749,9.45978073947,9.76640154772,9.69823731728,9.52016337059,8.9377472055,8.33439380911,7.7621883061,8.15384780739,8.21599312124,8.99475494411,9.44524935512,9.41743336199,9.51429492691,9.26322012038,9.95969475494,10.3765907137,10.1131986242,11.260683577,11.8805674979,12.2345012898,12.3734522786,12.3767794024,13.451108245,12.9791726378,13.9575570842,14.1466274959,14.8986815707,15.0147342839,0.0105505287647,0.00497114658356
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.7272,2.0286,2.13526180728,2.30150102976,2.80148509008,2.6846395473,3.3629814505,3.81135651696,3.6608342364,3.90167772288,4.2687502848,4.23943148592,4.61223039924,4.66993927724,4.04932580614,3.65098135752,-0.0959028154612,0.00120878347661
Romania,13.731,14.804,16.321,17.269,20.053,20.843,22.286,22.623,23.903,24.672,26.805,29.546,31.298,32.354,31.18,32.38,34.024,34.604,34.458,34.33,31.92,32.494,31.909,32.008,31.882,27.676,22.256,22.837,22.718,21.761,21.601,21.762,17.975,16.824,15.463,15.408,14.909,15.471,16.497,15.741,15.84,16.3152,14.4747,14.2938,11.9313,12.2211,12.5343,12.1797,11.2365,-0.0749127715826,0.00372023135424
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,315.374729413,319.032142174,337.438533024,356.09036821,361.384400512,366.841415648,376.371061843,364.317121705,363.257733169,341.26765992,329.864681069,331.705029091,305.91881358,318.461702217,317.483805138,324.345613294,329.640054495,333.631248632,341.532183963,350.410554593,354.646107554,373.543189996,379.815066496,374.439172353,350.702970653,372.75716911,382.133298666,374.637103001,372.128759666,-0.00397401256487,0.123206079006
Slovakia,0.289,0.321,0.385,0.469,0.594,0.756,0.857,0.951,1.029,1.254,1.368,1.595,2.016,2.27,2.576,3.284,3.105,3.228,3.302,3.704,4.229,4.269,4.32,4.387,4.625,5.319,4.88,4.917,4.636,4.503,5.131,5.549,5.631,5.726,5.795,5.834,6.229,5.828,5.668,5.49840928633,5.9027300086,5.37788048151,5.08933791917,5.1663155632,4.42540842648,5.00642734308,4.63705932932,4.36532674119,4.85389079966,0.114965595305,0.00160704820883
Spain,0.0,0.0,0.0,0.0,0.084,0.067,0.355,1.044,1.008,1.26,1.3,1.492,1.435,1.47,1.42,1.821,2.079,2.267,2.452,2.011,2.133,2.513,2.69,3.471,4.456,5.013,5.511,5.851,5.829,6.48,7.504,8.401,11.057,11.816,13.535,15.223,16.405,18.757,21.255,24.672,29.12,30.297,31.602,34.782,31.096,31.182,28.986,28.184,26.077,-0.0722238197923,0.00863369181752
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.286,0.409,0.642,0.615,0.591,0.666,0.73,0.731,0.734,0.784,0.737,0.768,0.756,0.668,0.638,0.734,0.743,0.741,0.706,0.8109,0.9297,0.8442,1.0332,1.4031,1.1349,0.9918,0.9711,-0.0181885976344,0.00032151618507
Switzerland,0.0,0.0,0.0,0.0,0.0,0.037,0.089,0.113,0.153,0.321,0.518,0.54,0.617,0.677,0.759,0.866,0.935,0.987,1.085,1.21,1.267,1.298,1.392,1.401,1.524,1.631,1.831,1.925,2.019,1.992,2.195,2.376,2.294,2.361,2.447,2.433,2.532,2.485,2.627,2.71,2.78279354161,2.70588516289,2.6347090857,2.80715582306,2.69442055985,3.0096971434,2.66958058661,2.92633992548,3.2801698051,0.123983085155,0.00108601350803
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.035,0.034,0.044,0.376,0.4698,1.0674,2.8377,3.0357,3.7188,4.0689,4.4568,4.7259,6.1137,7.1154,8.7489,9.2439,11.1438,13.1094,14.4243,15.6402,18.8442,19.8972,24.1785,27.4437,32.45485527,33.75,32.13,35.1,40.2417,40.7286,41.076,0.0112927276641,0.0135996285826
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.54183745807,12.2169229629,12.1354315383,12.2984143875,12.7058715188,8.56048028065,8.38876620965,8.14526206244,8.14526206244,8.87771476559,7.00438209966,8.71473190818,8.79622334096,8.95920619023,9.85561187749,10.9955217038,11.2399959858,11.5659616925,12.7873629435,13.5207857815,14.497737592,16.533936692,19.14027154,18.488687828,17.9382217633,20.3577149819,21.0539490673,23.7703832393,20.0393822794,-0.154650375247,0.00663472944871
