Oil: Proved reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand million barrels,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,19.5300006866,19.8880004883,24.8999996185,25.8869991302,28.0279998779,54.4539985657,55.5209999084,58.1010017395,58.5050010681,59.0400009155,60.0540008545,62.6489982605,63.3300018311,64.4479980469,64.8769989014,66.3290023804,72.6669998169,74.9309997559,76.108001709,76.8479995728,76.8479995728,77.6849975586,77.3069992065,77.2259979248,79.7289962769,80.0120010376,87.3239989281,99.3769989014,172.322998047,211.17300415,296.500999451,297.570999146,297.570999146,298.349990845,0.00261783483438,0.176759049296
Other S. & Cent. America,0.713695999177,0.758244026278,0.825162019173,0.475310006295,0.439926006948,0.43539999667,0.429000002157,0.616119991522,0.608200000599,0.639989983756,0.617183001712,0.602537006605,0.63459201064,0.861201023916,0.957524017664,0.99892100133,1.04503102554,1.06511302525,1.07845301414,1.27735599433,1.32740800036,1.37060800614,1.62599999877,1.47280900949,1.46820900333,1.47020001011,0.844151999569,0.820499997586,0.812069996959,0.769259005901,0.768359005568,0.506729001878,0.511529008625,0.512010006933,0.00094031484332,0.00030334305484
Total S. & Cent. America,26.7420086823,27.180874694,32.3253458399,33.4199355032,36.3104818846,62.8864586228,64.5763149083,68.118078928,69.2401381005,69.4947278616,71.5248110015,74.5565426056,78.7632743856,80.6839123724,81.4826898139,83.7392445449,90.7403646852,93.4390457445,95.554377208,97.7786260501,97.9081884469,98.8311345321,100.327455592,100.39792835,103.362153721,103.635013447,110.802329186,122.94082908,198.288276598,236.973890036,324.167640686,326.886417801,328.586688976,329.629536955,0.00317373778671,0.195290774107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.1779999733,1.1779999733,1.1779999733,1.1779999733,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-,0.004147187341
Denmark,0.449999988079,0.370999991894,0.327070146799,0.308200716972,0.465445995331,0.446576565504,0.402547895908,0.402547895908,0.540923714638,0.628981053829,0.591242194176,0.616401433945,0.748487472534,0.704458832741,0.754777312279,0.912022531033,0.861704051495,0.943471610546,0.880573511124,0.905732750893,1.11329650879,1.34601950645,1.27683162689,1.27683162689,1.32715010643,1.27683162689,1.15732514858,1.11329650879,0.811385571957,0.918312370777,0.899442911148,0.805095791817,0.72961807251,0.666719913483,-0.0862069651484,0.00039500178536
Italy,0.378450006247,0.378450006247,0.41629499197,0.43143299222,0.620657980442,0.635796010494,0.64336502552,0.681209981442,0.80231398344,0.764469027519,0.764469027519,0.825021028519,0.64336502552,0.64336502552,0.756900012493,0.772037982941,0.756900012493,0.847728013992,0.847728013992,0.89314198494,0.855297029018,0.825021028519,0.80231398344,0.840158998966,0.800974309444,0.802846074104,0.825491011143,0.878169775009,0.978278100491,0.966571867466,1.4183768034,1.37838220596,1.37838220596,1.37838220596,-,0.00081662990851
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.40000009537,5.40000009537,5.40000009537,5.40000009537,5.40000009537,9.0,9.0,9.0,9.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-,0.0177736598998
Norway,3.95206159353,3.95495975018,3.81658375263,4.88701111078,4.96190878749,5.90266060829,6.4933552146,6.63608461618,8.15646898746,8.4216350913,8.63057267666,8.81108355522,9.74274981022,9.56606692076,9.70444250107,10.8043905497,11.6822164059,12.0408217907,11.6630255282,10.9379587173,11.366245091,11.5969709158,10.4481682181,10.1490693688,9.72194170952,9.68808847666,8.54574728012,8.16835850477,7.49079781771,7.0776990056,6.76730689406,6.88406921923,9.21371653676,8.67814654112,-0.0581274665892,0.00514141423628
Romania,1.09019303322,1.0055129528,0.959259986877,1.59493994713,1.51059997082,1.44200003147,1.36199998856,1.28600001335,1.23099994659,1.19900000095,1.51999998093,1.49100005627,1.24479997158,1.00750005245,1.00039994717,1.00580000877,0.980400025845,0.931299984455,1.16289997101,1.22529995441,1.16989994049,1.15400004387,0.508099973202,0.493800014257,0.46819999814,0.458400011063,0.477699995041,0.479999989271,0.479999989271,0.600000023842,0.600000023842,0.600000023842,0.600000023842,0.600000023842,-,0.00035547322477
