Natural Gas: Proved reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Venezuela,1.26241004467,1.36510002613,1.47122001648,1.56233000755,1.66630005836,1.73479998112,2.62199997902,2.83800005913,2.85599994659,2.99270009995,3.42899990082,3.58179998398,3.6930000782,3.6930000782,3.96504998207,4.06470012665,4.0514998436,4.12080001831,4.14746379852,4.1524181366,4.1524181366,4.17999982834,4.1810002327,4.21899986267,4.28940820694,4.31163692474,4.70764780045,4.83991622925,4.9832277298,5.06523323059,5.52450418472,5.52841186523,5.56168413162,5.57399988174,0.00221439218149,0.030016830191
Other S. & Cent. America,0.164786405861,0.158786408603,0.154660195112,0.163660191,0.158378642052,0.15337863937,0.152097083628,0.151097089052,0.14981553331,0.166533980519,0.163252431899,0.160970872268,0.161689320579,0.159407764673,0.157126216218,0.15184465982,0.146563103423,0.145999995992,0.142718447372,0.141999997199,0.121999995783,0.121000001207,0.11999999918,0.0720000006259,0.066300002858,0.0663000026252,0.064760000445,0.0675600005779,0.0670500008855,0.0666800013278,0.06201473088,0.0583600010723,0.0659500013571,0.0632599990349,-0.0407885089517,0.00034066464286
Total S. & Cent. America,2.69340141863,2.8789864406,3.01580016874,3.07576022297,3.14541867189,3.24078361131,4.15365704149,4.66752218455,4.79418048635,4.79549409822,5.17052735016,5.30391085707,5.39069441147,5.39535285532,5.74898624979,5.88123481907,5.97769297473,6.20438004844,6.35279221646,6.80895311385,6.87810310908,7.00754217245,6.97487899847,6.81965975091,6.95190097205,6.85179587244,7.23567230348,7.35992877767,7.41680877493,7.03586147935,7.5299707076,7.54250978492,7.68555716681,7.67077707755,-0.00192309927661,0.0413082912564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.570961296558,0.570961296558,0.862246692181,0.862246692181,0.862246692181,0.862246692181,0.862246692181,0.862246692181,0.862246692181,0.862246692181,0.869009375572,0.919053554535,0.885916233063,0.888999998569,0.888999998569,0.888999998569,0.877882361412,-0.0125057790428,0.00472752889618
Denmark,0.082000002265,0.082000002265,0.082000002265,0.097999997437,0.103000000119,0.0909999981523,0.0710000023246,0.070000000298,0.0790000036359,0.108000002801,0.0989999994636,0.101000003517,0.128999993205,0.126000002027,0.123999997973,0.119999997318,0.11400000006,0.111000001431,0.104000002146,0.142000004649,0.143999993801,0.141000002623,0.128999993205,0.136000007391,0.131999999285,0.122000001371,0.119999997318,0.0689999982715,0.054999999702,0.0640000030398,0.0520000010729,0.0430000014603,0.0379999987781,0.0340000018477,-0.105263084173,0.00018309515144
Germany,0.222599998116,0.208320006728,0.20243999362,0.268799990416,0.257039994001,0.24864000082,0.320879995823,0.315840005875,0.304919987917,0.29484000802,0.182280004025,0.163800001144,0.166319996119,0.166319996119,0.186480000615,0.184799998999,0.187319993973,0.2209199965,0.218400001526,0.226799994707,0.221760004759,0.199080005288,0.188160002232,0.173879995942,0.161027997732,0.149688005447,0.130367994308,0.115667998791,0.100547999144,0.0780360028148,0.0687960013747,0.062160000205,0.0553559996188,0.0487199984491,-0.11987862736,0.00026236454141
Italy,0.146666660905,0.164083331823,0.165000006557,0.216333329678,0.229166671634,0.238333329558,0.242916673422,0.27500000596,0.299750000238,0.301583319902,0.295166671276,0.337333321571,0.275916665792,0.2676666677,0.273166656494,0.272249996662,0.254833340645,0.251166671515,0.242916673422,0.190666660666,0.182416662574,0.167750000954,0.157666668296,0.123750001192,0.114246919751,0.106917247176,0.0863014161587,0.076817587018,0.0640273317695,0.0582761652768,0.0605155825615,0.0571459159255,0.0544729158282,0.0515194162726,-0.0542195960879,0.00027743983082
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.26880288124,1.26880288124,1.24434041977,1.24434041977,1.24434041977,1.28491663933,1.28491663933,1.28491663933,1.28491663933,1.29167938232,1.3187302351,1.3187302351,1.3187302351,1.31700003147,1.31700003147,1.52542984486,1.52542984486,-,0.00821467023343
Netherlands,1.90084445477,1.83582222462,1.78768885136,1.75644445419,1.71844446659,1.68382227421,1.65088891983,1.61288893223,1.58502221107,1.57488894463,1.78431105614,1.76151108742,1.7403999567,1.69733333588,1.68635559082,1.64835560322,1.62977778912,1.64413332939,1.59853339195,1.55040001869,1.50057780743,1.46764445305,1.42626667023,1.36377775669,1.32746660709,1.27511107922,1.2151556015,1.17040002346,1.15182220936,1.17377781868,1.10115551949,1.03866672516,0.85119998455,0.85119998455,-,0.00458384025842
