Coal: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,130.42,144.18,145.61,162.91,173.52,176.72,176.55,181.36,176.28,174.78,178.39,174.39,182.28,195.81,206.24,206.27,219.87,224.83,222.27,224.14,223.712086,220.204965,237.876609,243.37153,244.363974,244.779,247.666,252.5816,250.5816,257.2057,251.609,258.272,256.699,-0.00336743844673,0.0372737646103
Zimbabwe,2.87,2.77,3.33,3.11,3.11,4.05,4.83,5.07,5.11,5.5,5.62,5.55,5.29,5.47,5.54,5.17,5.3,5.47,4.98,4.41,4.511447,3.938175,2.824362,3.797669,3.370826,2.107115,2.080221,1.50908,1.667346,2.668183,2.562054,1.5936,1.5936,0.00273972610012,0.00026473565958
Other Africa,2.65,2.243,2.063,2.311,2.361,2.443,2.302,2.353,2.235,2.286,2.428,2.428,2.242,2.333,2.343,2.115,2.005,2.336,2.196,1.996,1.983,2.147,2.575,2.117384,1.90796,2.075681,1.657289,1.699172,1.529185,1.968156,1.824,2.471736,2.478456,0.00547061208636,0.00039202906191
Total Africa,135.94,149.193,151.003,168.331,178.991,183.213,183.682,188.783,183.625,182.566,186.438,182.368,189.812,203.613,214.123,213.555,227.175,232.636,229.446,230.546,230.206533,226.29014,243.275971,249.286583,249.64276,248.961796,251.40351,255.789852,253.778131,261.842039,255.995054,262.337336,260.771056,-0.00323451310396,0.0379305295646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,126.935,130.1375,133.6825,140.0185,166.6075,178.0295,187.6015,186.874,201.689,210.4075,218.4145,228.9955,228.11,233.5215,245.3915,254.464,278.8675,287.9395,301.975,311.9685,334.6155,340.802,349.569,361.599,375.3325,383.027,394.484,408.478,422.334,432.701973,421.144237,452.838,478.032615513,0.0732487514615,0.0693186745048
China,621.6,666.3,714.5,789.2,872.3,894.0,928.1,979.9,1054.2,1079.883,1087.406,1116.38,1150.67,1239.901,1360.731,1396.6994,1387.5313,1332.0286,1363.9973,1384.1845,1471.5265,1550.4003,1834.8987,2122.6108,2349.5179,2528.5512,2691.6427,2802.0,2973.0,3235.0,3516.0,3645.0,3680.0,0.0123682282865,0.47405192256
India,130.1,134.95,142.9,152.53,157.45,169.18,185.36,196.98,215.29,223.34,239.9,253.8,263.19,270.86,289.02,310.96,319.39,320.92,314.41,334.79,341.88,358.1,375.35,407.672,428.432,449.193,478.406,515.875,555.989,573.826,570.117,606.51,605.128,0.00117683585268,0.0589358285069
Indonesia,0.4,0.59,0.65,1.47,2.0,2.59,3.03,4.49,8.7,10.73,13.84,22.36,27.58,32.87,41.84,50.35,54.82,62.23,73.68,77.040185,92.54046,103.329093,114.278,132.352025,152.722438,193.761311,216.946699,240.249968,256.181,275.164196,353.270937,386.0,421.0,0.0936617255211,0.0667060613632
Japan,17.69,17.61,17.06,16.65,16.38,16.01,13.05,11.23,10.19,8.26,8.05,7.6,7.22,6.93,6.26,6.48,4.27,3.66,3.91,3.13,3.2,1.37,1.34,1.34,1.11,1.359869,1.423328,1.22775,1.280671,0.91701,1.271521,1.321062,1.20363,-0.0863959342241,0.00017086483422
New Zealand,2.196894,2.244384,2.473531,2.526647,2.39001,2.517947,2.220996,2.438071,2.713016,2.57856,2.689025,3.018059,3.336808,3.033235,3.576821,3.610552,3.567412,3.12637,3.50573,3.457417,3.911396,4.458939,5.179891,5.155394,5.267161,5.673531,4.834779,4.831607,4.563334,5.330536,4.944783,4.926225,4.52560236,-0.0658155456185,0.00072963361163
Pakistan,1.56,1.77,1.82,2.31,2.19,2.05,2.41,2.7,2.72,2.82,2.83,2.98,3.15,3.02,3.17,3.46,3.14,3.32,3.31,3.23,3.26,3.49,3.32,3.25,3.487,3.895,3.625,4.004,3.67366666667,3.60533333333,3.54066666667,3.37233333333,3.42732277621,0.0190904513001,0.00039505638415
South Korea,19.87,20.12,19.86,21.37,22.54,24.25,24.27,24.3,20.79,17.22,15.06,11.97,9.44,7.44,5.72,4.95,4.51,4.36,4.2,4.15,3.82,3.32,3.3,3.19,2.81,2.824,2.886,2.773,2.519,2.084,2.084,2.094,1.814,-0.131341993809,0.000210355749
Thailand,1.71,2.11,2.0,2.36,5.19,5.538084,6.931257,7.295059,9.009922,12.438473,14.646015,15.408561,15.557927,17.104871,18.430798,21.690394,23.438556,19.996195,18.261308,17.785747,19.606995,19.601984,18.843395,20.059844,20.878176,19.070608,18.239176,18.095385,17.5661,18.258062,21.327106,18.066429,17.98202,-0.00194522074889,0.00129580323119
Vietnam,6.0,6.3,6.3,5.0,5.6,6.1,6.3,6.1,5.1,5.1,5.2,5.2,6.5,6.04,6.9,8.8,11.34,11.36,8.83,11.61,13.4,16.41,19.31,26.29,32.63,38.9,40.0,41.0,45.0,44.0107,44.4938,41.8965,41.1939,-0.0140761164948,0.00594331882894
Other Asia Pacific,52.8041119861,55.9699370465,56.8890560449,58.5715720164,61.8453049891,61.868099987,61.3413340027,61.1742580294,60.0225939613,55.4498960066,53.7236950267,47.4656300002,43.8099739997,40.8575549994,38.206558001,34.3758309998,33.6554209988,31.4331059987,34.5193379938,37.0149109963,37.607678001,37.2934980047,38.4581329977,42.3098560014,46.3914184389,47.1280410647,45.2519701768,48.1516119418,54.047280858,67.4412057675,82.9499100168,81.5784780168,81.7409344168,0.00652316119522,0.0116049684584
Total Asia Pacific,980.866005986,1038.10182105,1098.13508704,1192.00671902,1314.49281499,1362.13363099,1420.615087,1483.48138803,1590.42453196,1628.22742901,1661.75923503,1715.17775,1758.564709,1861.578161,2019.246677,2095.840177,2124.530189,2080.373771,2130.59867599,2188.36126,2325.368529,2438.575814,2763.847119,3125.828919,3418.57859344,3673.38356006,3897.73965218,4086.68632194,4336.15405252,4658.3390161,5021.14396068,5243.60302735,5336.04802507,0.0240661203861,0.689362466335
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,3836.28250331,3980.31301544,3986.88794099,4191.08846924,4441.16091691,4549.12251585,4650.2743192,4755.96836014,4838.48226861,4739.85714117,4556.89452339,4519.00612554,4395.98929705,4484.11343402,4604.97764348,4679.67021832,4729.67638305,4651.01952246,4638.06143881,4701.43139272,4915.40795859,4956.99737284,5312.29946665,5725.37519347,6050.57445517,6361.05915511,6592.99360282,6828.82955273,6906.06866968,7261.63457265,7707.98581159,7893.32278512,7896.39807686,0.00773903541267,1.0
of which: OECD,2044.93730184,2103.1424828,2043.88514899,2142.7920006,2261.97805752,2298.40996184,2327.09945683,2343.14366304,2356.75962875,2285.8150777,2168.84228793,2105.45823961,1998.16839943,2043.93905038,2040.67350272,2071.68632382,2107.51075858,2091.15109094,2058.89639958,2028.29132768,2102.96195191,2066.47284766,2045.26506964,2090.48083401,2117.831389,2145.65023608,2152.07413675,2169.14311008,2063.80102119,2071.40938489,2092.69538945,2056.28557589,2019.80275989,-0.00694770971313,0.251912236214
