Natural Gas: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Billion cubic metres,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,26.6798987293,36.8700678322,49.1500111461,59.7601509506,70.8498972963,76.7420862393,82.00431913,82.2747802618,75.3150257954,78.9880895513,76.3750318461,70.9187724913,60.6278104201,64.5721752492,65.3709595236,68.4476648833,62.5655552371,62.696586096,55.3386994045,60.4917399127,61.0326621764,68.957509315,69.4119176141,70.8045404605,66.8828540492,67.7916706474,76.7286471768,67.899183147,64.7636818891,60.2254784879,58.1071462692,62.4269649056,60.2960335658,58.0517101366,68.4543844145,62.5428768192,61.5677048502,60.5463361039,66.6283451695,62.7091759286,70.5080517606,64.1964693269,63.8514696984,68.6814644969,0.0785911902785,0.020324904618
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65555555556,14.2011111111,20.67,25.0877777778,24.9511111111,23.96,23.6133333333,25.9633333333,26.1855555556,26.09,28.1511111111,28.33,28.7377777778,25.4788888889,25.0266666667,25.8344444444,24.8044444444,26.8422222222,27.8144444444,37.4066666667,42.95,44.19,48.4788888889,49.7477777778,53.8955555556,65.5011111111,73.1244444444,79.178871,85.842598,88.668296,90.309894,100.110308,104.389351,107.250281,101.266314,114.726974,108.745837,-0.0495367646217,0.0321811536899
Poland,4.89111111111,5.04444444444,5.33666666667,5.41111111111,5.23888888889,5.39,5.87,6.17777777778,6.62666666667,5.94222222222,5.04777777778,4.48555555556,4.13777777778,4.04222222222,4.44,4.59333333333,4.16888888889,4.18777777778,4.15555555556,3.84777777778,2.64111111111,2.95333333333,2.81888888889,3.63444444444,3.40888888889,3.48666666667,3.60333333333,3.56,3.60888888889,3.44666666667,3.67333333333,3.87888888889,3.96444444444,4.01222222222,4.36175599503,4.31594535206,4.31150281838,4.32966572084,4.09984289248,4.08877636593,4.10329288876,4.27759731643,4.25278388162,4.18136622772,-0.0140994368121,0.0012373916365
Romania,23.3333333333,24.9355555556,25.5066666667,27.0044444444,27.8711111111,30.2755555556,33.0244444444,34.9733333333,35.2122222222,33.6455555556,34.7411111111,36.5666666667,36.9722222222,36.6888888889,36.4266666667,34.8177777778,35.2355555556,33.4877777778,32.7944444444,29.3977777778,28.3355555556,24.46,21.7822222222,20.5911111111,18.68,18.0433333333,17.2488888889,14.9655555556,14.0322222222,14.0266666667,13.75,13.5677777778,13.2266666667,13.0288888889,12.7922222222,12.4,11.942,11.523,11.4221,11.252,10.855,10.901,10.935,10.971,0.00604092655703,0.00324664784301
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,418.117648081,455.203621022,492.579186724,533.755657413,557.285069236,590.081309971,581.936015815,582.841048499,559.58170852,549.626348996,532.611734537,543.562630013,515.235107004,532.702237805,535.779348931,528.539087459,526.276505749,538.856460056,561.572780425,573.338205317,580.125950447,595.190219472,592.072381876,601.756231595,527.686546671,588.897165207,607.045695117,592.310405472,604.751165753,0.0238010548055,0.178964002174
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,75.2850680573,76.6515838978,79.7285069822,79.9095024578,81.3574662622,79.4570137689,76.2895929467,54.3891404044,59.0950227689,32.3076854907,29.2307693022,31.8549553448,15.6558395858,12.0361542828,20.6337153174,42.5339971175,46.4253205117,48.4162552134,53.4714933434,52.7601811244,57.0135748,60.3619910978,65.4298644133,66.0633485778,36.3800905867,42.35294128,59.5484164352,62.2876435912,62.3499312348,0.00374246574938,0.0184512140876
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,38.8054299591,35.9276018978,32.2171946489,29.32126704,27.8733032356,25.4298643156,22.0814480178,19.0045249333,17.3755656533,16.4705882756,16.4707538412,16.651845905,16.898691625,16.2616356325,16.3909871079,16.1840247545,16.5612998776,17.0135747022,17.5565611289,18.3710407689,18.5520362444,18.73303172,18.73303172,19.0045249333,19.2760181467,18.5158371493,18.6552036655,18.5873303622,19.2760181467,0.0398926995695,0.0057043517216
United Kingdom,10.4611111111,17.3844444444,25.0844444444,27.2355555556,32.8466666667,34.2033333333,36.2211111111,37.8455555556,36.2411111111,36.5955555556,34.79,34.7122222222,35.2811111111,36.3788888889,35.5633333333,39.6788888889,41.7166666667,43.6744444444,42.0588888889,41.1877777778,45.48,50.6377777778,51.4944444444,60.5422222222,64.6355555556,70.8066666667,84.18,85.8866666667,90.16111,99.085244,108.374448,105.825838,103.605318,102.936066,96.358442,88.169952,79.961424,72.075912,69.629814,59.68099,57.134358,45.23858,38.880084,36.477072,-0.0592353354082,0.0107946592952
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31.3031674973,34.9321267822,36.0180996356,36.1085973733,37.1945702267,36.9230770133,37.9021720384,38.735746701,40.7552942173,42.6977376609,43.9438915101,44.3230770314,46.3746607468,49.5837105284,50.2995476343,51.0542987673,51.9583711677,51.9212670952,52.0244345163,54.1764707207,54.01447977,54.4796381422,59.0950227689,62.1719458533,60.0000001467,59.6380091956,57.0135748,56.9230770622,55.2036200444,-0.0275497101247,0.0163364063389
Other Europe & Eurasia,193.468427851,207.225970238,216.084780205,230.625178922,252.868098248,278.895709022,307.735634343,331.818099733,356.674292592,386.929352761,412.517190445,438.75536339,471.356820039,502.300244847,549.506790908,19.2275227568,17.7449166564,17.8252863898,17.2944164329,17.7567651462,16.3197576191,16.5133257779,16.1824227891,16.4698251235,15.7809204725,15.8879648114,14.5175148901,13.225296731,12.2591315984,11.4275004259,11.1489388054,10.9532755104,11.1789389186,10.6107972793,11.0086089875,10.6626197604,10.4696765592,10.6744709188,10.2188973853,10.1601649816,10.1142962559,9.48143330201,8.69358064417,7.47058517359,-0.138323679566,0.00221077014309
