"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"American Samoa","ASM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions (kt)","EN.ATM.CO2E.KT","36.67","47.671","102.676","84.341","91.675","150.347","348.365","564.718","990.09","1257.781","462.042","425.372","374.034","330.03","429.039","707.731","403.37","465.709","491.378","407.037","143.013","106.343","293.36","84.341","146.68","249.356","249.356","275.025","286.026","286.026","300.694","293.36","293.36","308.028","311.695","322.696","322.696","337.364","333.697","348.365","344.698","344.698","363.033","388.702","407.037","410.704","425.372","443.707","458.375","498.712","513.38","","","",
"Australia","AUS","CO2 emissions (kt)","EN.ATM.CO2E.KT","88202.351","90589.568","94912.961","101029.517","108979.573","120966.996","120332.605","129265.417","134622.904","142257.598","147618.752","152774.554","157486.649","170992.21","172356.334","175883.988","174244.839","187787.07","202015.03","205069.641","220746.066","230360.94","234119.615","225003.453","236594.84","241229.928","239964.813","256106.947","261145.405","277771.583","287331.452","281530.258","294456.433","302116.796","303957.63","307433.946","329259.93","333623.66","346912.868","325523.257","329604.628","324859.53","341001.664","346476.495","348757.369","362684.635","371214.077","377235.291","387634.903","395093.581","373080.58","","","",
"Austria","AUT","CO2 emissions (kt)","EN.ATM.CO2E.KT","30821.135","31862.563","33905.082","36992.696","38943.54","38188.138","39258.902","39966.633","42350.183","44693.396","50692.608","52155.741","56193.108","60164.469","57469.224","54392.611","58415.31","56218.777","57483.892","61594.599","52306.088","56130.769","53868.23","51983.392","54550.292","54700.639","54080.916","57744.249","53340.182","54117.586","60725.52","65602.63","60542.17","60281.813","61103.221","61730.278","63024.729","63901.142","65565.96","63798.466","63695.79","65716.307","67179.44","72316.907","71865.866","74238.415","71565.172","69141.285","68268.539","62261.993","66897.081","","","",
"Azerbaijan","AZE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57681.91","49365.154","42672.879","33479.71","31514.198","29809.043","31675.546","28576.931","29508.349","28771.282","29614.692","30615.783","32089.917","34337.788","39167.227","41426.099","45701.821","42628.875","45731.157","","","",
"Burundi","BDI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","44.004","47.671","47.671","36.67","47.671","47.671","55.005","73.34","62.339","73.34","73.34","73.34","91.675","77.007","88.008","99.009","102.676","110.01","146.68","157.681","157.681","205.352","220.02","231.021","242.022","267.691","256.69","300.694","304.361","344.698","319.029","337.364","341.031","333.697","330.03","315.362","300.694","293.36","300.694","216.353","220.02","165.015","198.018","154.014","187.017","190.684","249.356","179.683","308.028","","","",
"Belgium","BEL","CO2 emissions (kt)","EN.ATM.CO2E.KT","91000.272","92793.435","98117.919","105781.949","103662.423","105440.918","105206.23","107472.436","118557.777","123618.237","125620.419","121528.047","130834.893","138872.957","135220.625","122100.099","130009.818","126570.172","135855.016","140233.414","135293.965","124014.273","117553.019","101623.571","105415.249","104447.161","102866.684","103116.04","100354.789","107461.435","108469.86","117578.688","114373.73","108924.568","113306.633","112976.603","119624.874","116295.238","119184.834","115844.197","115708.518","114766.099","107531.108","114835.772","111282.449","108524.865","106834.378","103215.049","103882.443","104194.138","108946.57","","","",
"Benin","BEN","CO2 emissions (kt)","EN.ATM.CO2E.KT","161.348","128.345","135.679","121.011","143.013","150.347","113.677","143.013","154.014","201.685","282.359","293.36","388.702","381.368","407.037","443.707","260.357","297.027","363.033","366.7","517.047","429.039","502.379","462.042","513.38","744.401","693.063","539.049","561.051","641.725","715.065","828.742","905.749","1133.103","1265.115","1327.454","1265.115","1217.444","1213.777","1562.142","1617.147","1738.158","2053.52","2321.211","2511.895","2398.218","3876.019","4499.409","4492.075","4756.099","5188.805","","","",
"Burkina Faso","BFA","CO2 emissions (kt)","EN.ATM.CO2E.KT","44.004","91.675","84.341","88.008","110.01","102.676","102.676","102.676","102.676","121.011","143.013","150.347","161.348","168.682","205.352","220.02","209.019","249.356","348.365","407.037","432.706","557.384","575.719","594.054","465.709","476.71","480.377","517.047","553.717","821.408","586.72","627.057","630.724","627.057","645.392","627.057","707.731","806.74","861.745","931.418","1041.428","997.424","1004.758","1078.098","1103.767","1125.769","1360.457","1646.483","1697.821","1664.818","1683.153","","","",
"Bangladesh","BGD","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","3509.319","4554.414","4660.757","4869.776","5570.173","5812.195","6017.547","6648.271","7638.361","7931.721","8599.115","8236.082","9123.496","10234.597","11463.042","11862.745","13545.898","13454.223","15533.412","15940.449","17748.28","17407.249","18969.391","22816.074","24029.851","25063.945","24048.186","25236.294","27869.2","32456.617","33707.064","33883.08","39750.28","37553.747","48136.709","48466.739","46435.221","52328.09","56152.771","","","",
"Bulgaria","BGR","CO2 emissions (kt)","EN.ATM.CO2E.KT","22295.36","25973.361","30736.794","34411.128","42863.563","46317.877","48767.433","55166.348","59526.411","66376.367","61238.9","64300.845","66171.015","68825.923","71260.811","73061.308","73116.313","75969.239","81411.067","79152.195","77487.377","80343.97","90131.193","90365.881","87366.275","89540.806","91528.32","91634.663","87289.268","86739.218","75763.887","58176.955","54458.617","68077.855","54344.94","58004.606","56559.808","51616.692","48998.454","43981.998","43530.957","46453.556","44634.724","47307.967","46787.253","47909.355","48943.449","52812.134","50791.617","42804.891","44678.728","","","",
