Country Name,Value
Qatar,642.5930915042044
Cameroon,336.3051103628692
South Korea,149.4372844554661
Moldova,-79.06259059066744
Réunion,200.7324961439394
Romania,-52.444696985134584
Russian Federation,-23.049735070008236
Rwanda,-9.376112759139787
Saint Helena,56.96284506399998
Saint Lucia,144.3913491111111
Samoa,51.03159451264705
Sao Tome and Principe,117.33317008846154
Saudi Arabia,138.46263697989403
Senegal,134.33026623732718
Serbia,-28.05887292810589
Seychelles,548.1046505870968
Sierra Leone,87.53720656886792
Singapore,-62.68150161409265
Slovakia,-36.15958639517438
Slovenia,-16.63623161497536
Solomon Islands,45.8827901543182
Somalia,3374.1109707599994
South Africa,34.38019548433204
Spain,9.688115974868051
Sri Lanka,285.99904490379015
Saint Kitts and Nevis,277.69572135444446
Saint Pierre and Miquelon,-24.016507821599998
Saint Vincent and the Grenadines,159.03463242590908
Sudan,173.3068634610818
Suriname,34.344285335425106
Swaziland,141.56041776896546
Sweden,-11.660657409452767
Switzerland,-5.985260345624088
Syria,71.67316646920592
Taiwan,110.19424211303286
Tajikistan,-64.88501044680217
Thailand,241.51959105724345
Timor-Leste,nan
Togo,124.2034171369668
Tonga,138.96990387190473
Trinidad and Tobago,188.67456542702703
Tunisia,103.51086661885023
Turkey,123.08546577749841
Turkmenistan,74.9167924995915
Turks and Caicos Islands,nan
Uganda,398.7890808082192
Ukraine,-57.26904499573434
United Arab Emirates,256.09724632024256
United Kingdom,-19.02086763695442
Tanzania,206.8005715270479
United States of America,9.842643773701587
Uruguay,68.07867597337007
Uzbekistan,-17.8852543553101
Vanuatu,96.55786462894737
Venezuela,80.95872584949271
Viet Nam,691.218395709147
Wallis and Futuna Islands,nan
Western Sahara,25.957838631666654
Yemen,256.8799783952196
Zambia,4.213389003748125
Zimbabwe,-41.61813352861873
KP Annex B,-6.8699527112900505
Non KP Annex B,175.00002211737726
OECD,8.047328200427927
Non-OECD,112.44748901491887
EU28,-18.157786349276208
Africa,74.89818302082061
Asia,181.64568288980297
Central America,78.85669710770642
Europe,-22.963646737896106
Middle East,160.88999547991767
North America,12.191088509210758
Oceania,21.403032947316913
South America,106.25680629862404
Bunkers,102.30630129364306
Statistical Difference,268.88824951471133
World,60.94470655818509
